patent_id,related_doc_number,published_country,related_doc_type,related_doc_kind,related_doc_published_date,related_doc_sequence
10598080,9435233,US,division,parent-grant-document,2016-09-06,4
11028942,PCT/GB2015/051774,WO,continuation,parent-pct-document,2015-06-17,2
6609781,20020126165,US,related-publication,,2002-09-12,0
9744038,12899407,US,division,child-doc,,1
10700531,15707434,US,continuation,child-doc,,5
10760652,20180355953,US,related-publication,,2018-12-13,0
7350983,20070031092,US,related-publication,,2007-02-08,0
8317005,20110284336,US,related-publication,,2011-11-24,2
7178434,10359775,US,division,child-doc,,5
7213131,09922319,US,continuation,parent-doc,2001-08-02,21
9651738,20140320346,US,related-publication,,2014-10-30,0
10808303,20180291484,US,related-publication,,2018-10-11,0
RE44409,09346635,US,continuation,parent-doc,1999-07-01,9
8834034,20120207421,US,related-publication,,2012-08-16,0
8044777,09820013,US,continuation,parent-doc,2001-03-28,12
9448184,8675188,US,continuation,parent-grant-document,,1
7164377,60633478,US,us-provisional-application,,2004-12-06,0
8943967,20140238257,US,related-publication,,2014-08-28,0
9353950,20140157779,US,related-publication,,2014-06-12,0
8608249,12767572,US,division,child-doc,,2
9975050,15688623,US,continuation,child-doc,,2
11189036,16140444,US,continuation,parent-doc,2018-09-24,0
7153964,20030149064,US,related-publication,,2003-08-07,0
10993743,61791157,US,us-provisional-application,,2013-03-15,5
9122873,61701194,US,us-provisional-application,,2012-09-14,0
9386165,12380781,US,continuation-in-part,child-doc,,414
11385166,15924394,US,continuation,parent-doc,2018-03-19,0
7699934,20040144323,US,related-publication,,2004-07-29,0
9540417,7928067,US,continuation,parent-grant-document,2011-04-19,6
7453190,20050105289,US,related-publication,,2005-05-19,0
D744310,29470140,US,continuation-in-part,child-doc,,1
7598242,10716890,US,division,child-doc,,5
9102672,PCT/US2007/083464,US,continuation,parent-doc,2007-11-02,3
8491322,13023419,US,continuation,parent-doc,2011-02-08,0
7154382,20050062589,US,related-publication,,2005-03-24,11
10828255,61773013,US,us-provisional-application,,2013-03-05,1
