patent_id,num_figures,num_sheets
4123216,4,2
4985685,3,2
6765013,11,11
6456736,6,6
9485520,19,13
D792766,10,3
6772008,4,3
5303733,7,7
4284115,17,5
8765442,8,5
4908551,6,2
8917757,12,10
4949388,23,13
D852816,1,1
4640027,7,4
11034169,7,6
RE41315,0,0
7524349,24,19
10048809,11,8
11147976,7,6
D303430,7,2
11215215,18,7
9685049,4,4
10272985,1,1
6005239,16,9
8152684,3,2
5173166,7,3
4389956,8,4
8880106,13,9
11139678,6,5
9937773,11,11
7978247,16,8
7332279,5,5
10888332,7,6
6221290,8,2
8145789,29,27
7670906,6,3
4129821,11,10
8879242,22,22
7716863,2,2
5898347,1,1
8104164,5,5
5544587,3,2
6576015,6,1
11243953,8,8
8049697,9,9
10090321,38,37
D301085,9,2
D479584,8,3
7336226,6,3
4103856,14,3
6906092,0,0
8314722,4,2
D716096,7,7
5041815,5,1
10004618,93,58
5903919,8,4
10073800,17,17
D260860,11,2
5799606,8,3
4706587,4,4
10646400,14,14
5794642,1,1
8199273,6,4
4538036,3,1
7230666,46,25
10110336,12,12
8389105,9,8
7357947,2,2
8559689,14,10
5700133,3,2
10659064,9,6
7994311,17,10
9695070,8,8
10553019,6,5
4713584,1,1
4802557,5,3
7946867,4,4
6780200,7,3
7011444,60,49
7203495,34,32
8265014,6,3
5528057,12,6
9569933,4,4
6252932,3,3
9747699,23,19
9106211,28,15
7525013,7,4
9557508,26,24
5765526,9,9
10201288,16,6
8970960,25,20
5993263,5,3
8815529,11,7
4708286,5,3
9792646,7,7
5020341,2,1
7198700,1,1
D340171,6,3
D595386,11,6
5805209,34,31
6707618,0,5
7710031,15,6
D791698,7,6
D735572,7,4
5933549,14,9
6456187,15,15
7969683,29,13
9894494,5,4
9682180,179,52
10060875,14,15
D301110,17,5
8692419,7,6
D638649,7,6
11411127,18,14
10914192,10,5
4006526,7,2
7765545,13,8
8005412,5,3
5100340,9,4
5829649,7,3
9831549,6,6
7703112,26,22
5940728,22,12
8019664,5,5
11294914,7,7
10949582,4,4
8864872,2,2
6919086,6,6
5868813,50,34
4946293,5,2
10236006,31,18
11246612,14,5
8096237,1,1
5773599,10,9
7402969,7,5
D439077,5,2
6213640,4,1
6703797,5,5
8280514,14,7
5238640,31,18
6233396,7,4
D740131,8,8
8092180,9,7
11343198,22,22
4191399,6,2
D744358,15,15
10844554,27,25
8449175,8,8
6080013,10,5
7012857,19,17
D670977,7,6
4823258,7,6
7094731,0,0
10621367,74,72
4312333,4,1
5362157,12,5
4130821,1,1
10043280,25,23
6668630,5,1
D267146,6,1
D331119,5,3
4689146,6,4
8682234,25,15
10002836,20,20
8738720,28,21
4431917,6,4
D464630,3,2
D418401,8,3
D780590,7,3
8253242,8,8
10845991,16,16
5022108,5,2
10978974,15,13
5220393,3,3
5636784,12,7
8029384,6,6
7068833,27,16
D570467,5,4
8313194,4,4
5572594,12,12
5488674,20,14
11084291,19,14
4510994,4,1
11413479,3,3
6918431,6,4
11401558,37,27
7554922,10,10
8335418,7,3
10805384,5,5
10293333,7,7
11436924,3,2
4472928,4,1
4062522,5,1
4295038,5,2
9728332,5,2
8450766,13,7
4305988,3,1
5299580,4,1
4735870,5,3
10306281,4,4
10114121,21,10
10819833,13,9
8665228,26,15
D856581,8,7
9124866,14,14
10292303,2,2
10854629,53,34
5507872,2,2
6142243,11,8
D682341,8,8
10155051,15,15
4484765,12,7
9426778,8,5
7753899,7,6
10516048,14,14
D588395,6,2
8970300,4,4
4504758,5,3
10984942,3,2
10241676,36,36
D435557,6,3
8893694,10,9
4542435,5,3
9307365,18,18
4952248,2,1
9945717,26,12
5326677,3,2
10285003,55,33
D542816,6,4
9408511,20,21
5916526,6,3
10841722,10,9
5689453,2,2
7423658,25,13
10527243,9,4
5870540,2,2
7320555,5,5
8555188,6,5
5599242,15,5
8713705,7,7
6087815,52,29
9302195,6,4
4217614,9,4
7608008,5,5
10118842,32,24
8976836,14,13
10383691,14,8
5477355,19,10
9232134,37,21
4530373,2,2
8180924,17,16
4292093,6,3
8060109,4,4
7075670,9,9
9166035,4,2
7222290,8,7
6864406,10,10
9649708,12,7
4561870,3,2
6801666,23,17
9070684,8,8
D415984,4,4
9547513,4,4
6127795,2,2
D408828,7,5
6136658,34,14
4763845,8,5
10016526,8,6
6767344,11,11
7881180,124,108
9973379,14,14
9380315,5,4
7008343,5,5
10572830,14,13
6871985,6,3
9607182,10,4
4353279,3,3
D711104,7,7
5876740,2,2
9330063,5,5
10172352,5,5
10085490,24,9
5497158,9,4
D367523,4,3
8259061,28,24
4168105,3,1
8937341,13,5
9361071,62,14
4890869,9,3
9015485,5,5
9940319,9,8
6567186,5,2
7833191,6,4
D802684,6,4
D562512,8,7
4425057,31,8
5022868,14,6
8482510,10,9
10186803,7,5
6852905,9,8
9052329,19,13
4189339,6,4
8330461,16,10
10355866,6,4
7384323,14,5
6388332,8,7
10523235,8,4
10250856,6,6
6681688,8,8
4497759,6,6
10894071,9,5
10252339,4,4
5444650,5,5
10436992,63,59
7170296,7,7
10589763,4,2
5549242,7,5
4375409,6,3
11313219,35,20
4500029,7,2
D906319,14,14
4813369,4,1
5944182,7,6
6338367,18,9
6972002,35,35
4007100,4,4
10927548,8,4
10244360,21,16
D300176,6,1
7325194,12,10
7126687,4,4
6233387,13,6
10740589,35,35
D824688,7,7
4733752,9,3
4864142,6,5
5723237,5,5
10647287,25,11
D920644,7,7
4890279,4,4
D689080,6,6
8224502,6,4
10571499,6,5
8691414,11,11
4796441,6,4
10630009,17,8
D462052,7,2
7078242,29,21
4509499,8,2
8296808,16,14
3931910,13,3
10205904,11,10
7404120,5,3
D880478,7,4
4692339,2,1
8273826,17,16
8717796,17,16
10951274,5,5
9018525,2,2
8693473,7,7
9533121,12,10
7000636,12,5
6256953,5,3
D367713,3,1
10895731,6,6
8672928,15,8
6621447,2,2
9098147,33,21
7600283,29,11
10908180,13,13
11091475,50,31
8001511,29,14
8532126,6,6
9715505,22,22
8687300,10,10
8070722,23,23
8061116,5,3
8589821,16,15
4651269,38,8
4171249,7,4
9766426,39,14
10318983,9,8
8409069,14,5
7225813,2,2
6963336,111,46
5586495,13,6
9491731,7,6
8911876,3,3
9650861,7,7
4583555,25,7
6419948,20,17
5558020,11,10
9058668,5,5
7496962,3,3
6682330,9,6
D640436,6,6
D500252,8,5
6493516,65,26
D808863,5,2
8501302,15,13
9508028,5,5
9949849,14,13
4866488,6,3
D395136,6,2
7672184,7,7
9245974,18,9
5827561,3,3
8585023,38,36
8041641,7,7
4645911,4,2
6518446,0,0
9098174,6,6
4803427,3,1
10488343,17,11
D599854,19,13
9451006,10,10
8680922,8,8
4621462,5,3
7729665,9,9
7160051,7,4
7288751,17,17
6260590,7,2
9551611,15,15
5468337,30,16
D818548,7,7
10491348,14,12
4211628,7,3
7429407,6,5
9375175,12,7
7877300,5,5
7521229,11,11
6725635,32,22
11177898,35,28
8869946,7,6
8205243,6,6
10387375,7,5
9870099,16,11
6044100,1,1
5626870,3,2
8381099,5,5
10995533,18,9
6533543,62,33
9573850,1,1
7253572,5,4
5719795,76,76
6052763,10,8
7734523,14,14
10421471,5,4
5275611,18,6
10604635,1,1
6104179,10,10
7099233,17,12
9209314,27,7
8909166,8,6
9384755,4,4
10207385,78,43
4146680,1,1
9279958,11,8
3972273,4,2
8935384,9,9
4538366,7,1
5132958,5,3
9416269,1,1
4205526,9,3
6853645,5,4
6760420,37,37
4919690,1,1
10267218,6,6
9500935,18,9
7401267,10,5
9628796,10,10
8128878,5,5
7330136,10,8
9296355,6,6
8505722,11,6
8797363,7,4
8872431,5,5
8953750,7,5
10689083,21,21
7567494,8,8
7643215,5,4
5483060,12,7
D505368,6,3
8704146,8,8
7948663,8,7
9464413,10,6
8406919,12,11
10842700,53,53
10740679,13,8
5017209,5,3
9533596,4,4
D919909,7,7
5432787,2,1
8574484,9,4
5718555,16,14
5228311,3,3
9513730,13,10
10730225,7,7
5614528,5,5
9797072,1,1
6141874,7,7
