patent_id,cpc_sequence,cpc_section,cpc_class,cpc_subclass,cpc_group,cpc_type
10731584,3,F,F02,F02M,F02M47/027,inventional
10619839,0,F,F21,F21K,F21K9/233,inventional
10407895,2,E,E04,E04B,E04B1/34326,inventional
10636087,1,G,G06,G06F,G06F16/9558,inventional
10466700,13,H,H04,H04K,H04K3/90,inventional
9740752,6,G,G06,G06Q,G06Q30/0251,inventional
8658253,32,Y,Y10,Y10T,Y10T428/31906,additional
6977023,6,Y,Y10,Y10T,Y10T428/28,additional
10983419,2,G,G03,G03B,G03B17/02,inventional
9956914,2,B,B60,B60L,B60L53/122,inventional
10367862,11,G,G06,G06Q,G06Q10/10,additional
9008672,6,H,H04,H04W,H04W48/16,inventional
11440302,17,B,B32,B32B,B32B2250/03,additional
11440407,4,G,G06,G06F,G06F3/017,inventional
8974628,0,G,G01,G01N,G01N21/55,inventional
7915108,0,H,H01,H01L,H01L21/823412,inventional
9411696,2,G,G11,G11C,G11C16/08,inventional
5901298,0,G,G06,G06F,G06F13/4243,inventional
5170864,1,B,B66,B66B,B66B17/18,inventional
8278715,0,H,H01,H01L,H01L23/60,inventional
5702528,0,C,C23,C23C,C23C2/006,inventional
9006786,1,H,H01,H01L,H01L21/02107,inventional
11438548,10,H,H04,H04N,H04N7/15,inventional
6066680,15,B,B29,B29K,B29K2105/16,additional
11293575,2,F,F16,F16L,F16L37/23,inventional
5654050,1,A,A63,A63F,A63F1/02,inventional
8016039,3,C,C09,C09K,C09K8/518,inventional
4328064,5,Y,Y10,Y10T,Y10T156/1768,additional
10577286,6,C,C23,C23C,C23C4/11,inventional
8910555,16,B,B23,B23K,B23K26/083,inventional
4231184,6,C,C10,C10M,C10M2229/042,additional
11452962,1,B,B65,B65B,B65B1/06,inventional
6555171,5,H,H01,H01L,H01L21/76832,inventional
6287470,1,B,B29,B29B,B29B7/842,inventional
4981605,26,C,C10,C10N,C10N2040/30,additional
5503341,3,G,G01,G01S,G01S15/88,inventional
6789558,3,Y,Y10,Y10T,Y10T137/86622,additional
4947254,0,H,H04,H04N,H04N5/268,inventional
9778452,0,G,G02,G02B,G02B23/105,inventional
7170455,5,H,H01,H01Q,H01Q21/28,inventional
11398526,7,H,H01,H01L,H01L27/14665,inventional
10343102,24,A,A61,A61M,A61M2205/3331,additional
9823134,4,G,G01,G01J,G01J5/0215,inventional
6288110,2,A,A61,A61P,A61P9/10,inventional
5949362,1,H,H03,H03M,H03M1/685,additional
6411275,0,H,H04,H04M,H04M1/724,inventional
10651538,3,H,H01,H01Q,H01Q1/50,inventional
11428450,15,F,F25,F25B,F25B2600/2513,additional
10743621,0,A,A43,A43C,A43C11/165,inventional
9227834,1,B,B81,B81C,B81C1/00674,inventional
9505882,20,C,C08,C08L,C08L5/00,inventional
10323379,3,E,E02,E02F,E02F3/3659,inventional
7849487,13,G,G11,G11B,G11B2220/2562,additional
4988071,1,F,F16,F16F,F16F1/371,inventional
10951648,5,H,H04,H04L,H04L63/18,inventional
10506128,6,H,H04,H04N,H04N1/32149,inventional
8968376,1,A,A61,A61N,A61N1/0541,inventional
5195855,0,B,B29,B29C,B29C65/601,inventional
9775564,2,A,A61,A61B,A61B5/4255,inventional
8791449,28,H,H01,H01L,H01L31/0352,inventional
10643406,21,H,H04,H04L,H04L67/12,additional
7950621,1,G,G05,G05D,G05D16/024,inventional
8046114,13,A,A61,A61H,A61H23/0263,inventional
9407160,7,Y,Y02,Y02B,Y02B70/10,additional
11213809,14,B,B01,B01J,B01J2229/37,additional
4333702,0,H,H01,H01R,H01R13/53,inventional
7586114,3,G,G01,G01N,G01N21/39,inventional
9922083,0,G,G06,G06F,G06F16/24532,inventional
10829109,13,B,B60,B60W,B60W2540/12,additional
11144944,1,G,G06,G06K,G06K19/06037,inventional
8182491,1,A,A61,A61B,A61B90/13,inventional
6693020,7,H,H01,H01L,H01L23/3107,additional
9673423,16,Y,Y02,Y02E,Y02E10/549,additional
4758428,2,A,A61,A61K,A61K38/00,additional
10107939,1,G,G01,G01S,G01S7/003,inventional
8524702,3,A,A61,A61P,A61P9/00,inventional
6648926,4,Y,Y10,Y10S,Y10S8/932,additional
10744296,0,A,A61,A61M,A61M16/207,inventional
8634929,3,A,A61,A61N,A61N1/325,inventional
11411881,9,H,H04,H04L,H04L67/02,inventional
6881386,10,B,B01,B01J,B01J2219/0877,additional
9579351,20,A,A61,A61P,A61P9/00,inventional
9577710,10,H,H04,H04R,H04R2205/024,additional
9314615,21,Y,Y10,Y10T,Y10T29/49156,additional
7569232,15,A,A01,A01N,A01N25/16,additional
10440745,1,H,H04,H04W,H04W72/0446,inventional
8321018,5,A,A61,A61B,A61B5/6869,inventional
10927321,6,G,G01,G01N,G01N30/92,inventional
6389953,3,F,F15,F15B,F15B2211/50545,additional
11254307,2,B,B60,B60R,B60R21/0134,inventional
6123756,6,C,C09,C09D,C09D15/00,inventional
10602584,1,F,F21,F21K,F21K9/62,inventional
9820195,0,H,H04,H04W,H04W36/0033,inventional
11280414,6,F,F16,F16K,F16K11/085,inventional
6015834,5,A,A61,A61K,A61K31/34,inventional
5827424,3,B,B01,B01D,B01D53/261,inventional
4000813,0,B,B65,B65D,B65D71/0022,inventional
6385924,11,Y,Y10,Y10T,Y10T292/314,additional
8764253,5,F,F21,F21Y,F21Y2115/10,additional
9595140,4,G,G06,G06F,G06F3/04886,inventional
10737908,0,B,B66,B66B,B66B19/007,inventional
10500328,15,B,B01,B01D,B01D71/028,inventional
10234027,13,F,F16,F16H,F16H2200/0056,additional
10731675,4,F,F15,F15B,F15B2211/351,additional
10828621,7,C,C07,C07C,C07C2521/06,additional
8388909,19,B,B01,B01L,B01L2300/0864,additional
11121985,42,H,H04,H04L,H04L47/11,additional
7820195,2,A,A61,A61K,A61K9/0051,inventional
8273018,0,G,G08,G08B,G08B7/066,inventional
6468487,23,C,C07,C07C,C07C233/62,inventional
9039318,7,F,F16,F16B,F16B5/08,inventional
8081835,7,G,G09,G09G,G09G2340/0457,additional
5191528,0,G,G05,G05D,G05D1/0261,inventional
6739677,6,B,B60,B60W,B60W30/18127,inventional
9784843,2,E,E01,E01C,E01C23/01,inventional
9656246,18,Y,Y10,Y10S,Y10S977/81,additional
9491991,1,A,A44,A44B,A44B1/32,additional
10175698,2,G,G05,G05D,G05D1/00,inventional
9728355,4,H,H01,H01H,H01H2221/07,additional
9307298,2,H,H04,H04N,H04N19/172,inventional
10348501,2,H,H04,H04L,H04L9/0866,inventional
6507989,22,H,H01,H01L,H01L2924/01075,additional
9131370,8,H,H04,H04W,H04W76/10,additional
10360246,2,G,G06,G06F,G06F40/103,inventional
10804241,3,H,H01,H01L,H01L24/16,inventional
10211397,0,H,H01,H01L,H01L45/085,inventional
9925208,25,A,A61,A61P,A61P31/14,inventional
10565724,8,G,G06,G06T,G06T7/246,inventional
10093501,7,B,B65,B65H,B65H2403/47,additional
10092411,29,A,A61,A61F,A61F2310/00029,additional
7649161,3,G,G01,G01J,G01J1/32,inventional
10316088,10,C,C07,C07K,C07K2317/64,additional
9302395,3,H,H01,H01L,H01L21/68707,inventional
8201732,2,G,G07,G07F,G07F19/206,inventional
9668981,2,A,A61,A61K,A61K9/7061,inventional
9147422,0,G,G11,G11B,G11B5/8408,inventional
10728572,5,H,H04,H04N,H04N19/577,inventional
10123261,2,G,G06,G06F,G06F1/3209,additional
4664077,1,F,F02,F02B,F02B41/04,inventional
9112333,3,H,H01,H01S,H01S5/22,inventional
9409364,6,B,B65,B65D,B65D2543/00296,additional
6840915,25,A,A61,A61F,A61F2013/00174,additional
