patent_id,sequence,disamb_inventor_id_20170808,disamb_inventor_id_20171003,disamb_inventor_id_20171226,disamb_inventor_id_20180528,disamb_inventor_id_20181127,disamb_inventor_id_20190312,disamb_inventor_id_20190820,disamb_inventor_id_20191008,disamb_inventor_id_20191231,disamb_inventor_id_20200331,disamb_inventor_id_20200630,disamb_inventor_id_20200929,disamb_inventor_id_20201229,disamb_inventor_id_20211230,disamb_inventor_id_20220630,disamb_inventor_id_20220929
4232236,0,3996565-3,3996565-3,3996565-3,3996565-3,3996565-3,3996565-3,3996565-3,3996565-3,3996565-3,3996565-3,3996565-3,3996565-3,fl:t_ln:yomogida-1,fl:to_ln:yomogida-1,fl:to_ln:yomogida-1,fl:to_ln:yomogida-1
5548018,0,4028449-2,4028449-2,5548018-1,4028449-2,4028449-2,4028449-2,4028449-2,4028449-2,4028449-2,4028449-2,4028449-2,4028449-2,fl:m_ln:maekawa-37,fl:ma_ln:maekawa-13,fl:ma_ln:maekawa-14,fl:ma_ln:maekawa-14
9928038,2,,,,9110654-3,9110654-3,9110654-3,9110654-3,9110654-3,9110654-3,9110654-3,9110654-3,9110654-3,fl:t_ln:christenson-2,fl:th_ln:christenson-1,fl:th_ln:christenson-1,fl:th_ln:christenson-1
8060667,0,4982133-1,7236423-5,7020469-1,7020469-1,10009765-5,7020469-1,7020469-1,7020469-1,7020469-1,7020469-1,7020469-1,7020469-1,fl:j_ln:choi-181,fl:jo_ln:choi-108,fl:jo_ln:choi-29,fl:jo_ln:choi-58
10723366,0,,,,,,,,,,,,,,fl:vi_ln:badigannavar-1,fl:vi_ln:badigannavar-1,fl:vi_ln:badigannavar-1
9474775,0,7455861-3,7455861-3,7455861-3,7455861-3,7455861-3,7455861-3,7455861-3,7455861-3,7455861-3,7455861-3,7455861-3,7455861-3,fl:w_ln:chang-59,fl:we_ln:chang-48,fl:we_ln:chang-17,fl:we_ln:chang-18
11311081,0,,,,,,,,,,,,,,,fl:er_ln:millward-1,fl:er_ln:millward-1
11136610,1,,,,,,,,,,,,,,fl:ch_ln:hirashima-1,fl:ch_ln:hirashima-1,fl:ch_ln:hirashima-1
8948111,0,7522919-2,7522919-2,7522919-2,7522919-2,10003998-1,7522919-2,7522919-2,7522919-2,7522919-2,7522919-2,7522919-2,7522919-2,fl:w_ln:chen-417,fl:wa_ln:chen-109,fl:wa_ln:chen-121,fl:wa_ln:chen-123
10556518,2,,,,,,,,,,10556518-3,10556518-3,10556518-3,fl:j_ln:hosegood-1,fl:ja_ln:hosegood-1,fl:ja_ln:hosegood-1,fl:ja_ln:hosegood-1
9078295,5,7043149-7,7043149-7,7043149-7,7043149-7,7043149-7,7043149-7,7043149-7,7043149-7,7043149-7,7043149-7,7043149-7,7043149-7,fl:f_ln:ogasawara-1,fl:fu_ln:ogasawara-1,fl:fu_ln:ogasawara-1,fl:fu_ln:ogasawara-1
3955263,0,3955263-1,3955263-1,3955263-1,3955263-1,3955263-1,3955263-1,3955263-1,3955263-1,3955263-1,3955263-1,3955263-1,3955263-1,fl:m_ln:gauthier-20,fl:ma_ln:gauthier-10,fl:ma_ln:gauthier-6,fl:ma_ln:gauthier-6
6649810,3,4021058-1,4287317-6,4287317-6,4287317-6,4021058-1,4021058-1,4021058-1,4021058-1,4287317-6,4021058-1,4287317-6,4287317-6,fl:m_ln:suzuki-49,fl:mi_ln:suzuki-37,fl:mi_ln:suzuki-27,fl:mi_ln:suzuki-29
7255444,1,5048939-1,5048939-1,5048939-1,5048939-1,10066802-2,5048939-1,5048939-1,5048939-1,5048939-1,5048939-1,5048939-1,5048939-1,fl:m_ln:yatsu-1,fl:ma_ln:yatsu-3,fl:ma_ln:yatsu-1,fl:ma_ln:yatsu-1
7013414,0,5581711-1,5581711-1,5581711-1,5581711-1,5581711-1,5581711-1,5581711-1,5581711-1,5581711-1,5581711-1,5581711-1,5581711-1,fl:m_ln:takeshige-2,fl:ma_ln:takeshige-2,fl:ma_ln:takeshige-3,fl:ma_ln:takeshige-3
8160370,3,5659033-2,6546047-1,6546047-1,6546047-1,10001860-3,6546047-1,6546047-1,6546047-1,5659033-2,5659033-2,5659033-2,6546047-1,fl:x_ln:chen-289,fl:xi_ln:chen-385,fl:xi_ln:chen-157,fl:xi_ln:chen-264
D380090,0,6049935-1,6049935-1,6049935-1,5969870-2,5969870-2,D364313-1,D364313-1,D364313-1,D364313-1,D364313-1,D364313-1,D364313-1,fl:m_ln:zemel-1,fl:ma_ln:zemel-2,fl:ma_ln:zemel-1,fl:ma_ln:zemel-1
5237402,0,5237402-1,5237402-1,5237402-1,5237402-1,5237402-1,5237402-1,5237402-1,5237402-1,5237402-1,5237402-1,5237402-1,5237402-1,fl:m_ln:deshon-1,fl:ma_ln:deshon-1,fl:ma_ln:deshon-1,fl:ma_ln:deshon-1
6692197,0,6692197-1,6692197-1,6692197-1,6692197-1,6692197-1,6692197-1,6692197-1,6692197-1,6692197-1,6692197-1,6692197-1,6692197-1,fl:s_ln:villa-1,fl:st_ln:villa-4,fl:st_ln:villa-3,fl:st_ln:villa-3
10832099,11,,,,,,,,,,,,,fl:y_ln:koga-30,fl:yu_ln:koga-5,fl:yu_ln:koga-4,fl:yu_ln:koga-4
9691761,3,6798809-2,6798809-2,6798809-2,6798809-2,10056340-5,6798809-2,6798809-2,6798809-2,6798809-2,6798809-2,6798809-2,6798809-2,fl:w_ln:ha-21,fl:wo_ln:ha-13,fl:wo_ln:ha-11,fl:wo_ln:ha-11
8372976,12,7105548-5,7105548-5,7105548-5,7105548-5,7105548-5,7105548-5,7105548-5,7105548-5,7105548-5,7105548-5,7105548-5,7105548-5,fl:l_ln:tehrani-1,fl:li_ln:tehrani-1,fl:li_ln:tehrani-1,fl:li_ln:tehrani-1
11443291,5,,,,,,,,,,,,,,,,fl:ju_ln:tervensalinas-1
10500621,0,,,,,,,,,5515731-1,5515731-1,5515731-1,5515731-1,fl:b_ln:weisshaar-1,fl:be_ln:weisshaar-1,fl:be_ln:weisshaar-1,fl:be_ln:weisshaar-1
D916206,0,,,,,,,,,,,,,,fl:em_ln:ribbens-1,fl:em_ln:ribbens-1,fl:em_ln:ribbens-1
6956547,0,6580408-1,6580408-1,6580408-1,6285417-2,6580408-1,6285417-2,5247224-1,5247224-1,6580408-1,5247224-1,5247224-1,6380688-1,fl:s_ln:bae-107,fl:su_ln:bae-76,fl:su_ln:bae-74,fl:su_ln:bae-66
10522317,1,,,,,,,,,10522317-2,10522317-2,10522317-2,10522317-2,fl:k_ln:lenz-1,fl:ka_ln:lenz-2,fl:ka_ln:lenz-2,fl:ka_ln:lenz-2
10134970,1,,,,,10000695-2,5434820-1,5434820-1,5434820-1,5434820-1,5434820-1,5434820-1,5434820-1,fl:t_ln:kim-221,fl:ta_ln:kim-1102,fl:ta_ln:kim-196,fl:ta_ln:kim-180
4771861,0,4660681-1,4660681-1,4771861-1,4660681-1,4660681-1,4660681-1,4660681-1,4660681-1,4660681-1,4660681-1,4660681-1,4660681-1,fl:h_ln:zenhausern-1,fl:he_ln:zenhausern-1,fl:he_ln:zenhausern-1,fl:he_ln:zenhausern-1
D472563,1,6494056-1,6494056-1,6494056-1,6494056-1,6494056-1,6494056-1,6494056-1,6494056-1,6494056-1,6494056-1,6494056-1,6494056-1,fl:h_ln:roth-34,fl:ha_ln:roth-18,fl:ha_ln:roth-17,fl:ha_ln:roth-17
11196377,0,,,,,,,,,,,,,,fl:mi_ln:takaoka-1,fl:mi_ln:takaoka-3,fl:mi_ln:takaoka-3
D953302,1,,,,,,,,,,,,,,,fl:ju_ln:chen-327,fl:ju_ln:chen-284
7192667,2,6722460-3,6722460-3,6722460-3,6722460-3,6722460-3,6722460-3,6722460-3,6722460-3,6722460-3,6722460-3,6722460-3,6722460-3,fl:y_ln:hsu-251,fl:ya_ln:hsu-77,fl:ya_ln:hsu-61,fl:ya_ln:hsu-61
4523971,3,4523971-4,4523971-4,4523971-4,4523971-4,4523971-4,4523971-4,4523971-4,4523971-4,4523971-4,4523971-4,4523971-4,4523971-4,fl:j_ln:speidell-1,fl:ja_ln:speidell-1,fl:ja_ln:speidell-2,fl:ja_ln:speidell-2
8729362,0,7655849-2,7655849-2,7655849-2,7655849-2,10028461-1,7655849-2,7655849-2,7655849-2,7655849-2,7655849-2,7655849-2,7655849-2,fl:f_ln:birru-1,fl:fu_ln:birru-1,fl:fu_ln:birru-1,fl:fu_ln:birru-1
10175790,1,,,,,,10175790-2,10175790-2,10175790-2,10175790-2,10175790-2,10175790-2,10175790-2,fl:z_ln:zeng-95,fl:za_ln:zeng-1,fl:za_ln:zeng-1,fl:za_ln:zeng-1
9684744,1,8255297-3,8255297-3,8255297-3,8255297-3,8255297-3,8255297-3,8255297-3,8255297-3,8255297-3,8255297-3,8255297-3,8255297-3,fl:g_ln:rom-1,fl:gu_ln:rom-1,fl:gu_ln:rom-1,fl:gu_ln:rom-1
D662082,0,5327178-1,5327178-1,5327178-1,8887081-2,5327178-1,5327178-1,5327178-1,5327178-1,5327178-1,5327178-1,5327178-1,5327178-1,fl:s_ln:mcmanigal-1,fl:sc_ln:mcmanigal-1,fl:sc_ln:mcmanigal-1,fl:sc_ln:mcmanigal-1
6990172,2,5339348-2,5339348-2,5339348-2,5339348-2,5339348-2,5339348-2,5339348-2,5339348-2,5339348-2,5339348-2,5339348-2,5339348-2,fl:j_ln:schmidt-5,fl:jo_ln:schmidt-14,fl:jo_ln:schmidt-5,fl:jo_ln:schmidt-5
9087033,1,7246308-1,7246308-1,7246308-1,7246308-1,10051600-4,7246308-1,7246308-1,7246308-1,7246308-1,7246308-1,7246308-1,7246308-1,fl:j_ln:leblang-1,fl:jo_ln:leblang-2,fl:jo_ln:leblang-1,fl:jo_ln:leblang-1
10892625,7,,,,,,,,,,,,,,fl:am_ln:barve-2,fl:am_ln:barve-1,fl:am_ln:barve-1
9968605,0,,,,9968605-1,9968605-1,9968605-1,9968605-1,9968605-1,9968605-1,9968605-1,9968605-1,9968605-1,fl:t_ln:paehler-1,fl:to_ln:paehler-1,fl:to_ln:paehler-1,fl:to_ln:paehler-1
6536985,0,5947452-1,5947452-1,5947452-1,5947452-1,5947452-1,5947452-1,5947452-1,5947452-1,5947452-1,5947452-1,5947452-1,5947452-1,fl:j_ln:albritton-1,fl:ja_ln:albritton-1,fl:ja_ln:albritton-1,fl:ja_ln:albritton-1
7337891,1,7337891-2,7337891-2,7337891-2,7337891-2,7337891-2,7337891-2,7337891-2,7337891-2,7337891-2,7337891-2,7337891-2,7337891-2,fl:s_ln:maruyama-17,fl:sh_ln:maruyama-5,fl:sh_ln:maruyama-5,fl:sh_ln:maruyama-5
8393323,0,7717113-1,7717113-1,7717113-1,5352797-4,5352797-4,4207922-1,7717113-1,7717113-1,5352797-4,4207922-1,7717113-1,4207922-1,fl:c_ln:andrieux-2,fl:cl_ln:andrieux-1,fl:cl_ln:andrieux-1,fl:cl_ln:andrieux-1
10409070,2,,,,,,,,7999269-1,7999269-1,7999269-1,7999269-1,7999269-1,fl:t_ln:miyao-5,fl:to_ln:miyao-1,fl:to_ln:miyao-2,fl:to_ln:miyao-2
5660215,0,3938848-1,3938848-1,3938848-1,3938848-1,3938848-1,3938848-1,3938848-1,3938848-1,3938848-1,3938848-1,3938848-1,3938848-1,fl:w_ln:krambrock-1,fl:wo_ln:krambrock-1,fl:wo_ln:krambrock-1,fl:wo_ln:krambrock-1
9579715,0,9579715-1,9579715-1,9579715-1,9579715-1,9579715-1,9579715-1,9579715-1,9579715-1,9579715-1,9579715-1,9579715-1,9579715-1,fl:f_ln:marques-5,fl:fr_ln:marques-1,fl:fr_ln:marques-2,fl:fr_ln:marques-2
6067272,0,4367420-1,4367420-1,4367420-1,4367420-1,4367420-1,4367420-1,4367420-1,4367420-1,4367420-1,4367420-1,4367420-1,4367420-1,fl:r_ln:foss-13,fl:ri_ln:foss-3,fl:ri_ln:foss-2,fl:ri_ln:foss-2
D687003,2,8576179-2,8576179-2,8576179-2,8576179-2,10142540-1,D442930-2,D442930-2,D442930-2,D442930-2,D442930-2,D442930-2,D442930-2,fl:c_ln:ribeiro-3,fl:cl_ln:ribeiro-6,fl:cl_ln:ribeiro-1,fl:cl_ln:ribeiro-1
10944798,3,,,,,,,,,,,,,,fl:hi_ln:annaka-2,fl:hi_ln:annaka-2,fl:hi_ln:annaka-2
4267873,0,4153265-1,4153265-1,4153265-1,4153265-1,4153265-1,4153265-1,4153265-1,4153265-1,4153265-1,4153265-1,4153265-1,4153265-1,fl:b_ln:mccoll-2,fl:br_ln:mccoll-2,fl:br_ln:mccoll-2,fl:br_ln:mccoll-2
9089515,4,4681091-1,4681091-1,4681091-1,4681091-1,4681091-1,4681091-1,4681091-1,4681091-1,4681091-1,4681091-1,4681091-1,4681091-1,fl:d_ln:picker-1,fl:do_ln:picker-1,fl:do_ln:picker-1,fl:do_ln:picker-1
8612901,0,4388994-2,4388994-2,6858928-3,4077373-4,10031413-1,4388994-2,4388994-2,4388994-2,4388994-2,4388994-2,4436710-2,3968197-2,fl:a_ln:fujimura-9,fl:ak_ln:fujimura-8,fl:ak_ln:fujimura-6,fl:ak_ln:fujimura-6
10945158,2,,,,,,,,,,,,,,fl:yu_ln:noh-2,fl:yu_ln:noh-5,fl:yu_ln:noh-5
4418709,0,4033375-1,4033375-1,4033375-1,4033375-1,4033375-1,4033375-1,4033375-1,4033375-1,4033375-1,4033375-1,4033375-1,4033375-1,fl:a_ln:hirsch-12,fl:ar_ln:hirsch-4,fl:ar_ln:hirsch-4,fl:ar_ln:hirsch-4
4241149,0,3932298-1,3932298-1,3932298-1,3932298-1,3932298-1,3932298-1,3932298-1,3932298-1,3932298-1,3932298-1,3932298-1,3932298-1,fl:m_ln:labes-1,fl:mo_ln:labes-1,fl:mo_ln:labes-1,fl:mo_ln:labes-1
11080144,2,,,,,,,,,,,,,,fl:al_ln:katona-1,fl:al_ln:katona-1,fl:al_ln:katona-1
9240069,0,6895054-1,6895054-1,8576340-1,8576340-1,10026233-1,8576340-1,8576340-1,8576340-1,8576340-1,8576340-1,8576340-1,8576340-1,fl:a_ln:li-100,fl:ad_ln:li-5,fl:ad_ln:li-3,fl:ad_ln:li-3
9383159,2,7305979-1,7305979-1,7305979-1,7305979-1,10066895-1,7305979-1,7305979-1,7305979-1,7305979-1,7305979-1,7305979-1,7305979-1,fl:c_ln:yehle-1,fl:cr_ln:yehle-1,fl:cr_ln:yehle-1,fl:cr_ln:yehle-1
6685055,0,6412663-2,6412663-2,6412663-2,6412663-2,6412663-2,6412663-2,6412663-2,6412663-2,6412663-2,6412663-2,6412663-2,6412663-2,fl:s_ln:taylor-45,fl:st_ln:taylor-29,fl:st_ln:taylor-21,fl:st_ln:taylor-22
