patent_id,sequence,disamb_inventor_id_20170808,disamb_inventor_id_20171003,disamb_inventor_id_20171226,disamb_inventor_id_20180528,disamb_inventor_id_20181127,disamb_inventor_id_20190312,disamb_inventor_id_20190820,disamb_inventor_id_20191008,disamb_inventor_id_20191231,disamb_inventor_id_20200331,disamb_inventor_id_20200630,disamb_inventor_id_20200929,disamb_inventor_id_20201229,disamb_inventor_id_20211230,disamb_inventor_id_20220630,disamb_inventor_id_20220929
4683184,2,4681825-3,4681825-3,4681825-3,4681825-3,10025231-6,4681825-3,4681825-3,4681825-3,4681825-3,4681825-3,4681825-3,4681825-3,fl:t_ln:natsuhara-3,fl:to_ln:natsuhara-1,fl:to_ln:natsuhara-1,fl:to_ln:natsuhara-1
8984219,3,8341338-3,8341338-3,8341338-3,8341338-3,8341338-3,8341338-3,8341338-3,8341338-3,8341338-3,8341338-3,8341338-3,8341338-3,fl:h_ln:jo-27,fl:ha_ln:jo-16,fl:ha_ln:jo-22,fl:ha_ln:jo-23
10144373,5,,,,,,10119513-5,10119513-5,10119513-5,10119513-5,10119513-5,10119513-5,10119513-5,fl:a_ln:koishi-2,fl:ak_ln:koishi-2,fl:ak_ln:koishi-1,fl:ak_ln:koishi-1
RE37311,3,3991024-3,4016306-4,4030614-2,4030614-2,10034371-2,3944995-1,3944995-1,3944995-1,3991024-3,3944995-1,4016306-4,4016306-4,fl:t_ln:kobayashi-240,fl:ta_ln:kobayashi-161,fl:ta_ln:kobayashi-80,fl:ta_ln:kobayashi-77
7550896,0,7193475-1,7193475-1,7193475-1,7550896-1,7193475-1,7193475-1,7193475-1,7193475-1,7193475-1,7193475-1,7193475-1,7193475-1,fl:j_ln:su-18,fl:ji_ln:su-24,fl:ji_ln:su-107,fl:ji_ln:su-124
4693839,1,4693839-2,4693839-2,4693839-2,4693839-2,4693839-2,4693839-2,4693839-2,4693839-2,4693839-2,4693839-2,4693839-2,4693839-2,7brkj7o28kz0w4kg5uzqdjo8r,7brkj7o28kz0w4kg5uzqdjo8r,7brkj7o28kz0w4kg5uzqdjo8r,7brkj7o28kz0w4kg5uzqdjo8r
11438933,0,,,,,,,,,,,,,,,,fl:we_ln:li-306
7629491,0,4578368-1,4578368-1,4578368-1,4578368-1,4578368-1,4578368-1,4578368-1,4578368-1,4578368-1,4578368-1,4578368-1,4578368-1,fl:j_ln:zoeller-1,fl:jo_ln:zoeller-3,fl:jo_ln:zoeller-2,fl:jo_ln:zoeller-2
9941345,1,,,,7982395-2,5698570-4,5698570-4,5698570-4,5698570-4,5698570-4,5698570-4,5698570-4,5698570-4,fl:s_ln:kim-490,fl:se_ln:kim-488,fl:se_ln:kim-109,fl:se_ln:kim-299
7528687,2,6298566-4,6298566-4,6298566-4,6298566-4,10078189-1,6298566-4,6298566-4,6298566-4,6298566-4,6298566-4,6298566-4,6298566-4,fl:t_ln:uchiyama-32,fl:ta_ln:uchiyama-20,fl:ta_ln:uchiyama-20,fl:ta_ln:uchiyama-20
11224596,1,,,,,,,,,,,,,,fl:an_ln:koul-2,fl:an_ln:koul-1,fl:an_ln:koul-1
9638081,0,5170766-3,5170766-3,5170766-3,5170766-3,10072773-1,5170766-3,5170766-3,5170766-3,5170766-3,5170766-3,5170766-3,5170766-3,fl:o_ln:baasch-2,fl:os_ln:baasch-2,fl:os_ln:baasch-2,fl:os_ln:baasch-2
7223864,0,6589751-3,6589751-3,6589751-3,6589751-3,6589751-3,6589751-3,6589751-3,6589751-3,6589751-3,6589751-3,6589751-3,6589751-3,fl:b_ln:kalyanaraman-1,fl:ba_ln:kalyanaraman-1,fl:ba_ln:kalyanaraman-1,fl:ba_ln:kalyanaraman-1
7913271,0,5237412-1,5237412-1,5237412-1,5237412-1,10008175-1,5237412-1,5237412-1,5237412-1,5237412-1,5237412-1,5237412-1,D311347-1,fl:y_ln:nakajima-90,fl:ya_ln:nakajima-28,fl:ya_ln:nakajima-15,fl:ya_ln:nakajima-15
5848639,3,5848639-4,5848639-4,5848639-4,5848639-4,5848639-4,5848639-4,5848639-4,5848639-4,5848639-4,5848639-4,5848639-4,5848639-4,fl:d_ln:penney-7,fl:do_ln:penney-3,fl:do_ln:penney-3,fl:do_ln:penney-3
11167044,2,,,,,,,,,,,,,,fl:zh_ln:wu-213,fl:zh_ln:wu-104,fl:zh_ln:wu-92
8376537,2,8376537-3,8376537-3,8376537-3,8376537-3,8376537-3,8376537-3,8376537-3,8376537-3,8376537-3,8376537-3,8376537-3,8376537-3,fl:h_ln:kim-1549,fl:hy_ln:kim-1294,fl:hy_ln:kim-650,fl:hy_ln:kim-667
9038183,1,7706373-4,7706373-4,7706373-4,7706373-4,7706373-4,7706373-4,7706373-4,7706373-4,7706373-4,7706373-4,7706373-4,7706373-4,fl:m_ln:hahn-19,fl:ma_ln:hahn-21,fl:ma_ln:hahn-10,fl:ma_ln:hahn-10
4026607,0,3954306-1,3954306-1,3954306-1,3954306-1,3954306-1,3954306-1,3954306-1,3954306-1,3954306-1,3954306-1,3954306-1,3954306-1,fl:w_ln:hess-12,fl:wo_ln:hess-1,fl:wo_ln:hess-1,fl:wo_ln:hess-1
10230870,4,,,,,,5291404-1,5291404-1,5291404-1,5291404-1,5291404-1,5291404-1,5291404-1,fl:m_ln:kurokawa-38,fl:ma_ln:kurokawa-16,fl:ma_ln:kurokawa-27,fl:ma_ln:kurokawa-19
11448848,0,,,,,,,,,,,,,,,,fl:su_ln:lee-297
9956926,0,,,,9956926-1,9956926-1,9956926-1,9956926-1,9956926-1,9956926-1,9956926-1,9956926-1,9956926-1,fl:j_ln:iriarte jimenez-1,fl:ju_ln:iriartejimenez-1,fl:ju_ln:iriartejimenez-1,fl:ju_ln:iriartejimenez-1
8843705,3,7181589-5,7181589-5,7181589-5,7181589-5,10067793-1,7181589-5,6057467-7,7181589-5,7181589-5,7181589-5,6057467-7,6057467-7,fl:l_ln:zhang-246,fl:li_ln:zhang-713,fl:li_ln:zhang-200,fl:li_ln:zhang-187
5316648,0,4961834-1,4961834-1,4961834-1,4961834-1,4961834-1,4961834-1,4961834-1,4961834-1,4961834-1,4961834-1,4961834-1,4961834-1,fl:u_ln:kuhn-3,fl:uw_ln:kuhn-1,fl:uw_ln:kuhn-1,fl:uw_ln:kuhn-1
4583100,0,4209850-1,4209850-1,4209850-1,4209850-1,4209850-1,4209850-1,4209850-1,4209850-1,4209850-1,4209850-1,4209850-1,4209850-1,fl:s_ln:tazaki-5,fl:sh_ln:tazaki-2,fl:sh_ln:tazaki-2,fl:sh_ln:tazaki-2
5286959,0,5209903-3,5209903-3,5209903-3,5209903-3,5209903-3,5209903-3,5209903-3,5209903-3,5209903-3,5209903-3,5209903-3,5209903-3,fl:t_ln:demachi-1,fl:ta_ln:demachi-1,fl:ta_ln:demachi-1,fl:ta_ln:demachi-1
9619014,1,9619014-2,9619014-2,9619014-2,9619014-2,10108449-1,9619014-2,9619014-2,9619014-2,9619014-2,9619014-2,9619014-2,9619014-2,fl:k_ln:vanka-1,fl:kr_ln:vanka-1,fl:kr_ln:vanka-1,fl:kr_ln:vanka-1
5064923,0,4743653-4,4743653-4,4743653-4,4743653-4,4743653-4,4743653-4,4743653-4,4743653-4,4743653-4,4743653-4,4743653-4,4743653-4,fl:a_ln:kashihara-2,fl:ak_ln:kashihara-1,fl:ak_ln:kashihara-1,fl:ak_ln:kashihara-1
9907447,1,,,,7628830-4,10022029-1,7628830-4,7628830-4,7628830-4,7628830-4,7628830-4,7628830-4,7628830-4,fl:y_ln:machida-5,fl:yu_ln:machida-3,fl:yu_ln:machida-3,fl:yu_ln:machida-5
10789573,4,,,,,,,,,,,,,,fl:ba_ln:shanka-1,fl:ba_ln:shanka-1,fl:ba_ln:shanka-1
7428813,1,5267829-1,5267829-1,5267829-1,5267829-1,5267829-1,5267829-1,5267829-1,5267829-1,5267829-1,5267829-1,5267829-1,7428813-2,fl:e_ln:schmidt-67,fl:er_ln:schmidt-30,fl:er_ln:schmidt-19,fl:er_ln:schmidt-19
10568561,0,,,,,,,,,,9808158-1,9808158-1,9808158-1,fl:a_ln:peipsi-1,fl:al_ln:peipsi-1,fl:al_ln:peipsi-1,fl:al_ln:peipsi-1
5362883,2,4490386-1,4490386-1,4490386-1,4490386-1,4490386-1,4490386-1,4490386-1,4490386-1,4490386-1,4490386-1,4490386-1,4490386-1,fl:r_ln:seamans-1,fl:ro_ln:seamans-1,fl:ro_ln:seamans-1,fl:ro_ln:seamans-1
8910313,4,8910313-5,8910313-5,8910313-5,8910313-5,8910313-5,8910313-5,8910313-5,8910313-5,8910313-5,8910313-5,8910313-5,8910313-5,fl:m_ln:stattelmann-1,fl:ma_ln:stattelmann-1,fl:ma_ln:stattelmann-1,fl:ma_ln:stattelmann-1
8818054,0,7148879-1,7148879-1,7148879-1,7148879-1,10045732-2,7148879-1,7148879-1,7148879-1,7148879-1,7148879-1,7148879-1,7148879-1,fl:b_ln:amento-1,fl:br_ln:amento-3,fl:br_ln:amento-1,fl:br_ln:amento-1
10796009,1,,,,,,,,,,,,,fl:t_ln:kgil-1,fl:ta_ln:kgil-1,fl:ta_ln:kgil-1,fl:ta_ln:kgil-1
7922716,0,5358496-3,5358496-3,5358496-3,5358496-3,10098618-5,5358496-3,5358496-3,5358496-3,5358496-3,5358496-3,5358496-3,5358496-3,fl:w_ln:malecki-2,fl:wi_ln:malecki-2,fl:wi_ln:malecki-2,fl:wi_ln:malecki-2
10484873,2,,,,,,,,,8666390-3,8666390-3,8666390-3,8666390-3,fl:b_ln:hilliard-1,fl:br_ln:hilliard-2,fl:br_ln:hilliard-1,fl:br_ln:hilliard-1
D518820,0,5031119-2,5031119-2,5031119-2,5031119-2,10097679-1,5031119-2,5031119-2,5031119-2,5031119-2,5031119-2,5031119-2,5031119-2,fl:j_ln:hawkins-51,fl:je_ln:hawkins-24,fl:je_ln:hawkins-20,fl:je_ln:hawkins-20
4306788,2,3945024-4,3945024-4,3945024-4,3945024-4,3945024-4,3945024-4,3945024-4,3945024-4,3945024-4,3945024-4,3945024-4,3945024-4,fl:t_ln:taguchi-38,fl:te_ln:taguchi-4,fl:te_ln:taguchi-5,fl:te_ln:taguchi-5
11014939,3,,,,,,,,,,,,,,fl:yu_ln:yamamoto-77,fl:yu_ln:yamamoto-34,fl:yu_ln:yamamoto-34
6248928,0,4464233-4,4464233-4,5886203-1,5886203-1,5886203-1,5886203-1,5886203-1,5886203-1,5886203-1,5886203-1,5886203-1,5886203-1,fl:a_ln:jones-173,fl:an_ln:jones-80,fl:an_ln:jones-27,fl:an_ln:jones-26
7037824,3,5019210-3,5019210-3,5019210-3,5019210-3,5019210-3,5019210-3,5019210-3,5019210-3,5019210-3,5019210-3,5019210-3,5019210-3,fl:j_ln:heidenreich-1,fl:jo_ln:heidenreich-1,fl:jo_ln:heidenreich-1,fl:jo_ln:heidenreich-1
6383703,1,6383703-2,6383703-2,6383703-2,6383703-2,6383703-2,6383703-2,6383703-2,6383703-2,6383703-2,6383703-2,6383703-2,6383703-2,fl:m_ln:takamuro-2,cy6lcxngtcariiqtr83z4gmxb,fl:mo_ln:takamuro-1,fl:mo_ln:takamuro-1
11132552,1,,,,,,,,,,,,,,dgxgeiqajzv1gg6r91jeszfn9,dgxgeiqajzv1gg6r91jeszfn9,fl:os_ln:perry-1
D841043,1,,,,,,D625735-2,D625735-2,D625735-2,D625735-2,D625735-2,D625735-2,D625735-2,fl:w_ln:jang-79,fl:wi_ln:jang-1,fl:wi_ln:jang-1,fl:wi_ln:jang-1
7080369,1,5650948-1,5650948-1,5650948-1,5650948-1,5650948-1,5650948-1,5650948-1,5650948-1,5650948-1,5650948-1,5650948-1,5650948-1,fl:n_ln:gafter-1,fl:ne_ln:gafter-1,fl:ne_ln:gafter-1,fl:ne_ln:gafter-1
6913881,1,6001558-4,6001558-4,6001558-4,6001558-4,6001558-4,6001558-4,6001558-4,6001558-4,6001558-4,6001558-4,6001558-4,6913881-2,fl:e_ln:rasmussen-24,fl:er_ln:rasmussen-1,fl:er_ln:rasmussen-2,fl:er_ln:rasmussen-2
6711855,7,5407523-3,5407523-3,5802770-3,5802770-3,5407523-3,5407523-3,5802770-3,5802770-3,5407523-3,5802770-3,5407523-3,5802770-3,fl:r_ln:mooney-9,fl:ro_ln:mooney-3,fl:ro_ln:mooney-3,fl:ro_ln:mooney-3
9145540,1,7313424-3,7313424-3,7888110-2,7313424-3,7313424-3,7313424-3,7313424-3,7313424-3,7313424-3,7313424-3,7313424-3,7313424-3,fl:a_ln:deutsch-13,fl:as_ln:deutsch-1,fl:as_ln:deutsch-1,fl:as_ln:deutsch-1
5888857,2,4926791-3,4926791-3,4926791-3,4926791-3,10038012-2,4926791-3,4926791-3,4926791-3,4926791-3,4926791-3,4926791-3,4926791-3,fl:t_ln:takayama-45,fl:to_ln:takayama-25,fl:to_ln:takayama-22,fl:to_ln:takayama-23
10073303,1,,,,,10012874-2,9360725-5,9360725-5,9360725-5,9360725-5,9360725-5,9360725-5,9398690-4,fl:c_ln:wang-937,fl:ch_ln:wang-1344,fl:ch_ln:wang-995,fl:ch_ln:wang-1027
6208413,2,6208413-3,6208413-3,6208413-3,6208413-3,6208413-3,6208413-3,6208413-3,6208413-3,6208413-3,6208413-3,6208413-3,6208413-3,fl:r_ln:riesenberg-2,fl:ra_ln:riesenberg-2,fl:ra_ln:riesenberg-2,fl:ra_ln:riesenberg-2
6531477,2,5411977-2,5411977-2,5411977-2,5411977-2,5411977-2,5411977-2,5411977-2,5411977-2,5411977-2,5411977-2,5411977-2,5411977-2,fl:s_ln:sherk-1,fl:su_ln:sherk-1,fl:su_ln:sherk-1,fl:su_ln:sherk-1
10424325,4,,,,,,,,6144546-2,6144546-2,6144546-2,6144546-2,6144546-2,fl:r_ln:sato-46,fl:ri_ln:sato-13,fl:ri_ln:sato-7,fl:ri_ln:sato-7
7609532,1,3940633-1,3940633-1,3940633-1,3940633-1,10081257-3,3940633-1,3940633-1,3940633-1,3940633-1,3940633-1,3940633-1,3940633-1,fl:r_ln:steigerwald-4,fl:ro_ln:steigerwald-4,fl:ro_ln:steigerwald-3,fl:ro_ln:steigerwald-3
10676009,0,,,,,,,,,,,9114748-1,9114748-1,fl:e_ln:blatstein-1,fl:er_ln:blatstein-1,fl:er_ln:blatstein-1,fl:er_ln:blatstein-1
11080761,1,,,,,,,,,,,,,,fl:ja_ln:shao-1,fl:ja_ln:shao-1,fl:ja_ln:shao-1
10364305,0,,,,,,,8043990-1,8043990-1,8043990-1,8043990-1,8043990-1,8043990-1,fl:v_ln:gupta-13,fl:vi_ln:gupta-36,fl:vi_ln:gupta-9,fl:vi_ln:gupta-11
D911802,4,,,,,,,,,,,,,,fl:fr_ln:bryan-3,fl:fr_ln:bryan-2,fl:fr_ln:bryan-2
5122286,0,4725215-1,4725215-1,4725215-1,4725215-1,4725215-1,4725215-1,4725215-1,4725215-1,4725215-1,4725215-1,4725215-1,4725215-1,fl:u_ln:kreyenborg-1,fl:ud_ln:kreyenborg-1,fl:ud_ln:kreyenborg-1,fl:ud_ln:kreyenborg-1
5850567,0,4308593-1,4308593-1,4308593-1,4308593-1,4308593-1,4308593-1,4308593-1,4308593-1,4308593-1,4308593-1,4308593-1,4308593-1,fl:b_ln:young-74,fl:b._ln:young-1,fl:b._ln:young-1,fl:b._ln:young-1
5798979,1,5323358-3,5323358-3,5323358-3,5323358-3,5323358-3,5323358-3,5323358-3,5323358-3,5323358-3,5323358-3,5323358-3,5323358-3,fl:h_ln:kuyama-3,fl:hi_ln:kuyama-3,fl:hi_ln:kuyama-3,fl:hi_ln:kuyama-3
10460577,3,,,,,,,,,6221798-2,5975158-2,5975158-2,5975158-2,fl:x_ln:yu-65,fl:xi_ln:yu-214,fl:xi_ln:yu-94,fl:xi_ln:yu-56
10559899,1,,,,,,,,,,5848917-2,5848917-2,5848917-2,fl:a_ln:imperato-3,fl:an_ln:imperato-3,fl:an_ln:imperato-3,fl:an_ln:imperato-3
D266826,0,D266826-1,D266826-1,D266826-1,D266826-1,D266826-1,D266826-1,D266826-1,D266826-1,D266826-1,D266826-1,D266826-1,D266826-1,fl:j_ln:mchaney-2,fl:ja_ln:mchaney-2,fl:ja_ln:mchaney-2,fl:ja_ln:mchaney-2
4154184,0,3982657-1,3982657-1,3982657-1,3982657-1,3982657-1,3982657-1,3982657-1,3982657-1,3982657-1,3982657-1,3982657-1,3982657-1,fl:j_ln:keller-1,fl:je_ln:keller-1,fl:je_ln:keller-2,fl:je_ln:keller-2
D869235,0,,,,,,,,,D647759-1,D647759-1,D647759-1,5096473-2,fl:t_ln:johnson-29,fl:to_ln:johnson-7,fl:to_ln:johnson-7,fl:to_ln:johnson-7
10713510,2,,,,,,,,,,,,,,fl:ca_ln:kershaw-2,fl:ca_ln:kershaw-2,fl:ca_ln:kershaw-2
6334592,0,6257529-2,6257529-2,6257529-2,6257529-2,6257529-2,6257529-2,6257529-2,6257529-2,6257529-2,6257529-2,6257529-2,6257529-2,fl:t_ln:tomio-1,fl:ta_ln:tomio-1,fl:ta_ln:tomio-1,fl:ta_ln:tomio-1
5293606,0,5293606-1,5293606-1,5293606-1,5293606-1,5293606-1,5293606-1,5293606-1,5293606-1,5293606-1,5293606-1,5293606-1,5293606-1,fl:c_ln:sassenrath-1,fl:ca_ln:sassenrath-1,fl:ca_ln:sassenrath-1,fl:ca_ln:sassenrath-1
10768380,3,,,,,,,,,,,,,,fl:ka_ln:toba-1,fl:ka_ln:toba-7,fl:ka_ln:toba-7
D254671,1,4057372-2,4057372-2,4057372-2,4057372-2,4057372-2,4057372-2,4057372-2,4057372-2,4057372-2,4057372-2,4057372-2,4057372-2,fl:w_ln:conger-3,fl:wi_ln:conger-2,fl:wi_ln:conger-2,fl:wi_ln:conger-2
9585479,1,6213056-1,6213056-1,6213056-1,6213056-1,10001010-1,6024011-1,6024011-1,6024011-1,6024011-1,6024011-1,6024011-1,6024011-1,fl:m_ln:bergmann-11,fl:ma_ln:bergmann-9,fl:ma_ln:bergmann-6,fl:ma_ln:bergmann-8
8799565,0,8661180-4,8661180-4,8661180-4,8661180-4,8661180-4,8661180-4,8661180-4,8661180-4,8661180-4,8661180-4,8661180-4,8661180-4,fl:t_ln:ikarashi-7,fl:ta_ln:ikarashi-5,fl:ta_ln:ikarashi-5,fl:ta_ln:ikarashi-5
9498706,0,5431165-1,9186588-1,9186588-1,5431165-1,9186588-1,9186588-1,5431165-1,9186588-1,5431165-1,5431165-1,5431165-1,5431165-1,fl:m_ln:sellers-6,fl:mi_ln:sellers-1,fl:mi_ln:sellers-1,fl:mi_ln:sellers-1
4720425,0,4698395-2,4698395-2,4698395-2,4698395-2,4698395-2,4698395-2,4698395-2,4698395-2,4698395-2,4698395-2,4698395-2,4698395-2,fl:m_ln:hattori-8,fl:ma_ln:hattori-8,fl:ma_ln:hattori-3,fl:ma_ln:hattori-4
10499988,4,,,,,,,,,8398625-1,7222508-1,8398625-1,7222508-1,fl:w_ln:dickhans-1,fl:wi_ln:dickhans-2,fl:wi_ln:dickhans-1,fl:wi_ln:dickhans-1
6680889,4,5099373-3,6496807-5,6496807-5,6496807-5,6496807-5,6496807-5,5099373-3,6496807-5,5099373-3,5581622-1,6496807-5,6496807-5,fl:k_ln:sakurai-45,fl:ka_ln:sakurai-36,fl:ka_ln:sakurai-23,fl:ka_ln:sakurai-22
4717106,0,4208803-2,4208803-2,4208803-2,4208803-2,4208803-2,D245570-2,D245570-2,D245570-2,D245570-2,D245570-2,D245570-2,D245570-2,fl:s_ln:bies-1,fl:sy_ln:bies-1,fl:sy_ln:bies-1,fl:sy_ln:bies-1
9650623,2,6172030-1,6172030-1,6172030-1,6172030-1,6172030-1,6172030-1,6172030-1,6172030-1,6172030-1,6172030-1,6172030-1,6172030-1,fl:y_ln:wada-8,fl:ya_ln:wada-4,fl:ya_ln:wada-26,fl:ya_ln:wada-26
4293518,0,4293518-1,4293518-1,4293518-1,4293518-1,4293518-1,4293518-1,4293518-1,4293518-1,4293518-1,4293518-1,4293518-1,4293518-1,n6q630k5p76yfesejmuyfsy87,n6q630k5p76yfesejmuyfsy87,n6q630k5p76yfesejmuyfsy87,n6q630k5p76yfesejmuyfsy87
6865743,1,5044729-1,5044729-1,5044729-1,5044729-1,10094622-4,5044729-1,5044729-1,5044729-1,5044729-1,5044729-1,5044729-1,5044729-1,fl:h_ln:tomita-20,fl:hi_ln:tomita-27,fl:hi_ln:tomita-17,fl:hi_ln:tomita-17
9815082,2,,,9815082-3,9656293-1,9656293-1,9656293-1,9656293-1,9656293-1,9656293-1,9656293-1,9656293-1,9656293-1,fl:a_ln:kuan-6,fl:aa_ln:kuan-1,fl:aa_ln:kuan-1,fl:aa_ln:kuan-1
5972422,0,5972422-1,5972422-1,5972422-1,5972422-1,5972422-1,5972422-1,5972422-1,5972422-1,5972422-1,5972422-1,5972422-1,5972422-1,fl:h_ln:harmon-1,fl:he_ln:harmon-1,fl:he_ln:harmon-1,fl:he_ln:harmon-1
D492017,0,D492017-1,D492017-1,D492017-1,D492017-1,D492017-1,D492017-1,D492017-1,D492017-1,D492017-1,D492017-1,D492017-1,D492017-1,fl:k_ln:brown-184,fl:ky_ln:brown-16,fl:ky_ln:brown-9,fl:ky_ln:brown-9
11084484,0,,,,,,,,,,,,,,fl:sh_ln:kondo-31,fl:sh_ln:kondo-38,fl:sh_ln:kondo-38
8037365,4,7489639-4,7489639-4,7489639-4,7489639-4,7489639-4,7489639-4,7489639-4,7489639-4,7489639-4,7489639-4,7489639-4,7489639-4,fl:o_ln:shehory-1,fl:on_ln:shehory-1,fl:on_ln:shehory-1,fl:on_ln:shehory-1
5926792,5,5926792-6,5926792-6,5926792-6,5926792-6,5926792-6,5926792-6,5926792-6,5926792-6,5926792-6,5926792-6,5926792-6,5926792-6,fl:m_ln:gilje-1,fl:ma_ln:gilje-1,fl:ma_ln:gilje-1,fl:ma_ln:gilje-1
5909244,2,5555324-2,5555324-2,5555324-2,5555324-2,5555324-2,5555324-2,5555324-2,5555324-2,5555324-2,5555324-2,5555324-2,5555324-2,fl:d_ln:fay-2,fl:da_ln:fay-3,fl:da_ln:fay-3,fl:da_ln:fay-3
6792838,0,6755748-1,6755748-1,6755748-1,6755748-1,6755748-1,6755748-1,6755748-1,6755748-1,6755748-1,6755748-1,6755748-1,6755748-1,fl:l_ln:brooks-32,fl:la_ln:brooks-14,fl:la_ln:brooks-16,fl:la_ln:brooks-16
10183949,10,,,,,,10183949-11,10183949-11,10183949-11,10183949-11,10183949-11,10183949-11,10183949-11,fl:y_ln:kioi-1,fl:yo_ln:kioi-1,fl:yo_ln:kioi-1,fl:yo_ln:kioi-1
8262743,2,7468333-4,7468333-4,7468333-4,7468333-4,7468333-4,7468333-4,7468333-4,7468333-4,7468333-4,7468333-4,7468333-4,7468333-4,fl:d_ln:valenti-1,fl:do_ln:valenti-2,fl:do_ln:valenti-1,fl:do_ln:valenti-1
10540252,2,,,,,,,,,,7917365-2,7917365-2,7917365-2,fl:m_ln:hollinger-2,fl:mi_ln:hollinger-1,fl:mi_ln:hollinger-1,fl:mi_ln:hollinger-1
7542484,0,7042913-1,7042913-1,7042913-1,7042913-1,7042913-1,7042913-1,7042913-1,7042913-1,7042913-1,7042913-1,7042913-1,7042913-1,fl:a_ln:jarabek-1,fl:an_ln:jarabek-1,fl:an_ln:jarabek-1,fl:an_ln:jarabek-1
D924046,0,,,,,,,,,,,,,,fl:jo_ln:hurst-7,fl:jo_ln:hurst-6,fl:jo_ln:hurst-6
10984760,1,,,,,,,,,,,,,,fl:ma_ln:okazaki-27,fl:ma_ln:okazaki-27,fl:ma_ln:okazaki-27
9841272,1,,,7177071-1,7096384-3,7096384-3,7096384-3,7096384-3,7096384-3,7096384-3,7096384-3,7096384-3,7177071-1,fl:h_ln:ohtake-6,fl:hi_ln:ohtake-5,fl:hi_ln:ohtake-9,fl:hi_ln:ohtake-9
6645664,1,5797269-2,5797269-2,6270920-2,5797269-2,5797269-2,5797269-2,5797269-2,5797269-2,5797269-2,5797269-2,5797269-2,5797269-2,fl:k_ln:satoh-30,fl:ko_ln:satoh-14,fl:ko_ln:satoh-5,fl:ko_ln:satoh-5
10348966,1,,,,,,,7103893-1,7103893-1,7103893-1,7103893-1,7103893-1,7103893-1,fl:m_ln:kimura-150,fl:ma_ln:kimura-125,fl:ma_ln:kimura-69,fl:ma_ln:kimura-74
D777433,0,D777433-1,D777433-1,D777433-1,D777433-1,D777433-1,D777433-1,D777433-1,D777433-1,D777433-1,D777433-1,D777433-1,D777433-1,fl:m_ln:feiner-1,fl:ma_ln:feiner-1,fl:ma_ln:feiner-1,fl:ma_ln:feiner-1
6385815,0,6194666-1,6194666-1,6194666-1,6194666-1,6194666-1,6194666-1,6194666-1,6194666-1,6194666-1,6194666-1,6194666-1,6194666-1,fl:t_ln:hayashida-33,fl:ta_ln:hayashida-19,fl:ta_ln:hayashida-19,fl:ta_ln:hayashida-19
10579086,1,,,,,,,,,,8912936-4,8912936-4,8912936-4,fl:w_ln:yang-64,fl:we_ln:yang-544,fl:we_ln:yang-38,fl:we_ln:yang-28
4514329,0,4514329-1,4514329-1,4514329-1,4514329-1,4514329-1,4514329-1,4514329-1,4514329-1,4514329-1,4514329-1,4514329-1,4514329-1,fl:h_ln:wakabayashi-4,fl:ha_ln:wakabayashi-1,fl:ha_ln:wakabayashi-1,fl:ha_ln:wakabayashi-1
10063286,0,,,,,10063286-1,9706344-3,9706344-3,9706344-3,9706344-3,9706344-3,9706344-3,9706344-3,fl:s_ln:endo-64,fl:sh_ln:endo-24,fl:sh_ln:endo-40,fl:sh_ln:endo-40
D818488,0,,,,D818488-1,D818488-1,D818488-1,D818488-1,D818488-1,D818488-1,D818488-1,D818488-1,D818488-1,fl:m_ln:frazier-8,fl:mi_ln:frazier-6,fl:mi_ln:frazier-5,fl:mi_ln:frazier-5
10558915,1,,,,,,,,,,D829738-1,D829738-1,D829738-1,fl:k_ln:farh-1,fl:ka_ln:farh-1,fl:ka_ln:farh-1,fl:ka_ln:farh-1
D596932,0,4660508-1,4660508-1,4660508-1,4660508-1,4660508-1,4660508-1,4660508-1,4660508-1,4660508-1,4660508-1,4660508-1,4660508-1,fl:j_ln:kleinsasser-1,fl:jo_ln:kleinsasser-1,fl:jo_ln:kleinsasser-1,fl:jo_ln:kleinsasser-1
7522545,0,7492285-2,7492285-2,7492285-2,7492285-2,5999391-1,5999391-1,5999391-1,5999391-1,5999391-1,5999391-1,5999391-1,5999391-1,fl:c_ln:lou-5,fl:ch_ln:lou-35,fl:ch_ln:lou-6,fl:ch_ln:lou-6
6337440,1,4865892-1,4865892-1,4865892-1,4865892-1,4865892-1,4865892-1,4865892-1,4865892-1,4865892-1,4865892-1,4865892-1,4865892-1,fl:p_ln:winfield-2,fl:ph_ln:winfield-2,fl:ph_ln:winfield-2,fl:ph_ln:winfield-2
8273798,2,5612320-2,5612320-2,5612320-2,5612320-2,5612320-2,5612320-2,5612320-2,5612320-2,5612320-2,5612320-2,5612320-2,5612320-2,fl:j_ln:shear-2,fl:je_ln:shear-2,fl:je_ln:shear-2,fl:je_ln:shear-2
10703157,0,,,,,,,,,,,,,,fl:da_ln:peck-6,fl:da_ln:peck-15,fl:da_ln:peck-15
7819092,0,6983253-1,6983253-1,6983253-1,7819092-1,6983253-1,6983253-1,6983253-1,6983253-1,6983253-1,6983253-1,6983253-1,6983253-1,fl:j_ln:maul-3,fl:jo_ln:maul-6,fl:jo_ln:maul-6,fl:jo_ln:maul-6
