patent_id,term_extension
11326807,176.0
7307909,75.0
D339900,
10400699,172.0
8872812,804.0
D940135,
6398512,
6980927,76.0
5232798,
7952521,698.0
D630245,
6937243,401.0
7104438,57.0
7961382,97.0
9924547,118.0
8005550,221.0
10609961,133.0
11320197,366.0
7817936,70.0
9203955,
10046333,404.0
8656518,841.0
11281014,147.0
9102169,345.0
7266279,324.0
10154018,57.0
11154586,
7343041,1217.0
6572361,78.0
8816324,36.0
7524982,306.0
7596882,634.0
8135787,134.0
8506621,
8413589,413.0
9981445,386.0
9069843,357.0
9545781,13.0
7926526,1321.0
7462404,460.0
9564761,194.0
9969369,59.0
11334380,273.0
7177323,925.0
7143355,497.0
9323402,608.0
D545849,
7404334,107.0
6720615,
7991068,
D607066,
9772493,90.0
7471641,612.0
7806222,650.0
7222051,55.0
9324449,267.0
10952297,
8752963,402.0
8770350,448.0
6882687,727.0
10329077,7.0
D528110,
8511170,492.0
8247067,1174.0
D861591,
7588693,173.0
D936432,
D672166,
D890832,
D484516,
10024403,446.0
8079630,378.0
7473931,729.0
8115157,234.0
8232163,39.0
9802175,158.0
10529518,439.0
10502758,144.0
D952701,
D385244,
8223821,579.0
7990154,428.0
8373194,220.0
10892075,363.0
D270059,
8388085,126.0
10501620,732.0
9120719,15.0
11415160,252.0
10834953,165.0
11164566,70.0
10946997,416.0
9051362,562.0
11062670,319.0
9080145,773.0
D554478,
8708280,75.0
9749337,17.0
6689065,
8919228,423.0
7536115,152.0
8047933,342.0
10802542,82.0
6889347,591.0
11307149,78.0
9355128,166.0
7426985,
7926485,328.0
7782108,256.0
7593046,435.0
D953102,
7474168,609.0
8487929,603.0
9215136,190.0
D790888,
10180365,352.0
7807056,225.0
8787042,151.0
8201361,
D386150,
10054373,6.0
10257698,305.0
10466341,407.0
11122879,
7140975,14.0
D474477,
11379394,16.0
10809433,279.0
10256927,88.0
9289915,1189.0
6694464,459.0
10438587,130.0
11106941,10.0
11179250,350.0
8754628,322.0
D446588,
4728611,
6824975,134.0
9111785,
6826112,30.0
7212053,44.0
D790103,
8558515,249.0
10047608,365.0
11257452,258.0
8153574,37.0
D693922,
6496431,
7078545,550.0
9559268,132.0
7794615,87.0
7478042,908.0
D370836,
D897758,
8491560,744.0
D325848,
10867336,596.0
8168700,581.0
7073082,262.0
D533853,
10990619,144.0
9261164,51.0
D653824,
7639208,673.0
11107890,11.0
10624999,559.0
8108024,1195.0
7242019,574.0
8197877,1174.0
D640141,
7142394,455.0
7300790,447.0
10514004,728.0
5483629,
8667671,804.0
7772234,1316.0
D770329,
D901322,
7448625,222.0
10291917,757.0
10912462,355.0
D828445,
10145960,743.0
D641502,
D578352,
D479304,
7458125,
10182008,
D690157,
D608314,
7869298,336.0
10528471,71.0
8596601,422.0
D675501,
11204361,165.0
7434699,450.0
5346823,
7133114,81.0
7611711,57.0
8384388,704.0
D757032,
7392697,2.0
D454715,
8408120,958.0
9480309,82.0
8419295,392.0
10172003,172.0
8167762,412.0
7332064,329.0
11317429,80.0
4970218,
D632761,
9585499,772.0
10787709,
8008766,
10158517,
8630774,245.0
D489296,
7664496,449.0
11456193,67.0
D531698,
6991013,328.0
9813896,66.0
6485720,
11425970,65.0
11084679,142.0
8440707,82.0
9633868,237.0
10835333,294.0
10768536,
D254000,
9463651,11.0
D749106,
6511765,110.0
10548342,
9582782,602.0
11386691,260.0
7403223,327.0
8819956,320.0
D707208,
10039115,37.0
11426975,2.0
8441020,432.0
10461894,128.0
D621851,
11322974,
8024683,622.0
8983506,1468.0
10466084,
10005620,
11333316,
8786451,419.0
8846044,156.0
D675120,
9627732,
7029623,394.0
8285984,344.0
D348381,
6750548,
9068070,516.0
7873958,1302.0
D522611,
8611440,1385.0
9763300,
9790027,51.0
10559955,374.0
D302919,
10250489,13.0
10873562,
8463932,734.0
9714451,855.0
9821276,460.0
7328095,325.0
7493257,926.0
D301497,
9851386,717.0
11125553,433.0
D918324,
7032448,33.0
D893952,
8288654,369.0
9274088,413.0
8385759,249.0
11375362,1.0
7309650,323.0
11277433,307.0
9036091,455.0
8590760,794.0
10623982,127.0
