application_id,patent_id,patent_application_type,filing_date,series_code,rule_47_flag
2003/10724234,7230694,10,2003-12-01,10,0.0
2007/12448071,8355886,12,2007-12-07,12,0.0
07/415275,5101483,7,1989-09-22,7,0.0
2021/17164388,11418563,17,2021-02-01,17,0.0
07/769727,5182566,7,1991-10-02,7,0.0
2012/13369345,9157519,13,2012-02-09,13,0.0
07/419490,5115982,7,1989-10-10,7,0.0
05/802441,4136473,5,1977-06-01,5,0.0
2010/13265492,8733738,13,2010-03-26,13,0.0
2019/16294388,11134126,16,2019-03-06,16,0.0
2018/16219240,11028725,16,2018-12-13,16,0.0
2017/15696812,10483097,15,2017-09-06,15,0.0
2006/11611135,8521711,11,2006-12-15,11,0.0
05/741860,D249689,5,1976-11-15,5,0.0
2004/10765254,7009712,10,2004-01-27,10,0.0
09/110260,5944175,9,1998-07-06,9,0.0
2002/10473120,6840244,10,2002-03-28,10,0.0
2011/13992321,9220178,13,2011-11-15,13,0.0
2009/13392149,9046058,13,2009-12-18,13,0.0
2008/12335479,7967936,12,2008-12-15,12,0.0
06/658290,4629113,6,1984-10-05,6,0.0
2019/16702451,10932067,16,2019-12-03,16,0.0
2013/13799829,9092695,13,2013-03-13,13,0.0
2010/12775211,8320998,12,2010-05-06,12,0.0
05/927262,4219603,5,1978-07-24,5,0.0
07/782236,D337332,7,1991-10-23,7,0.0
2013/14396820,9360076,14,2013-04-25,14,0.0
2005/10588076,7664318,10,2005-09-16,10,0.0
2007/11835644,8167712,11,2007-08-08,11,0.0
2007/11701117,8194280,11,2007-01-31,11,0.0
2017/15853124,10094759,15,2017-12-22,15,0.0
07/479124,5005261,7,1990-02-13,7,0.0
07/255003,4878377,7,1988-10-07,7,0.0
07/051915,4782410,7,1987-05-19,7,0.0
06/133952,4379762,6,1980-03-25,6,0.0
2013/14039783,8863216,14,2013-09-27,14,0.0
06/422418,4526391,6,1982-09-23,6,0.0
2007/12438863,8227086,12,2007-08-23,12,0.0
07/519396,5049233,7,1990-07-06,7,0.0
2017/15698609,10006208,15,2017-09-07,15,0.0
10/101545,6536139,10,2002-03-19,10,0.0
2015/15536285,10595424,15,2015-12-24,15,0.0
2008/12251704,8355745,12,2008-10-15,12,0.0
06/016789,4246221,6,1979-03-02,6,0.0
2017/16487252,11136444,16,2017-02-20,16,0.0
09/691988,6498884,9,2000-10-19,9,0.0
2008/12078310,8223599,12,2008-03-28,12,0.0
2020/29741752,D952835,29,2020-07-15,D,0.0
2011/29388964,D655358,29,2011-04-05,29,0.0
2014/14222192,9739235,14,2014-03-21,14,0.0
2017/15461699,10089276,15,2017-03-17,15,0.0
09/441344,6276094,9,1999-11-16,9,0.0
8                                   ,5809272,08,1995-11-29,08,0.0
2009/12457264,7965237,12,2009-06-05,12,0.0
2003/10732546,6851217,10,2003-12-10,10,0.0
2006/11594979,7826811,11,2006-11-09,11,0.0
10/371480,6808163,10,2003-02-20,10,0.0
2004/10950459,6927972,10,2004-09-28,10,0.0
2012/13646031,8754076,13,2012-10-05,13,0.0
29/006031,D355564,29,1993-03-31,29,0.0
2014/15108188,10029121,15,2014-12-30,15,0.0
2014/14215180,9389785,14,2014-03-17,14,0.0
05/919948,4196019,5,1978-06-28,5,0.0
2006/11516699,7752147,11,2006-09-07,11,0.0
06/685222,4593546,6,1984-12-26,6,0.0
06/796316,4660802,6,1985-11-08,6,0.0
06/935370,4743145,6,1986-11-26,6,0.0
8                                   ,5708206,8,1996-10-11,8,0.0
2006/29266593,D547470,29,2006-09-25,29,0.0
2010/12770539,8351234,12,2010-04-29,12,0.0
2005/11232582,7092056,11,2005-09-21,11,0.0
2010/12695069,8133487,12,2010-01-27,12,0.0
2019/35508038,D924547,35,2019-10-02,D,0.0
2014/14219491,9253799,14,2014-03-19,14,0.0
2018/29663556,D906876,29,2018-09-17,D,0.0
2006/11485348,7598782,11,2006-07-13,11,0.0
2013/29444010,D688876,29,2013-01-25,29,0.0
2002/10216598,7114118,10,2002-08-09,10,0.0
2010/12806553,8358223,12,2010-08-14,12,0.0
2014/14535100,10295224,14,2014-11-06,14,0.0
2017/15491528,10342616,15,2017-04-19,15,0.0
09/393507,6171250,9,1999-09-10,9,0.0
2004/10807674,7433187,10,2004-03-24,10,0.0
2011/13299711,8495106,13,2011-11-18,13,0.0
2003/10736230,7002667,10,2003-12-16,10,0.0
2005/11137800,7263856,11,2005-05-26,11,0.0
06/934547,4756104,6,1986-11-24,6,0.0
07/425054,5057556,7,1989-10-23,7,0.0
06/423288,4533099,6,1982-09-24,6,0.0
2007/11859789,8218007,11,2007-09-23,11,0.0
2018/16101238,11231334,16,2018-08-10,16,0.0
08/970689,6041412,8,1997-11-14,8,0.0
08/867550,6014221,8,1997-06-02,8,0.0
2007/11821127,7862813,11,2007-06-22,11,0.0
05/527275,3939073,5,1974-11-26,5,0.0
8                                   ,5770419,8,1996-08-30,8,0.0
2007/11706041,7918859,11,2007-02-12,11,0.0
06/724074,4604354,6,1985-04-17,6,0.0
2011/13228643,8526270,13,2011-09-09,13,0.0
08/533540,5915161,8,1995-09-25,8,0.0
2018/29645984,D948155,29,2018-04-30,D,0.0
2011/13012289,8553266,13,2011-01-24,13,0.0
2005/11033500,7185641,11,2005-01-12,11,0.0
05/648838,4023670,5,1976-01-14,5,0.0
07/375121,5008963,7,1989-07-03,7,0.0
2004/10976473,7316877,10,2004-10-29,10,0.0
