patent_id,published_or_filed_date,filed_country,application_kind,pct_doc_number,pct_doc_type
4611497,1984-09-13,WO,A,WO84/03561,wo_grant
8066906,2008-07-03,WO,A,WO2008/078445,wo_grant
9528157,2012-07-19,WO,A,WO2012/095639,wo_grant
9230840,2013-04-18,WO,A,WO2013/054698,wo_grant
9207357,2010-06-22,WO,00,PCT/US2010/039516,pct_application
4341524,1979-05-25,WO,00,PCT/SE79/00120,pct_application
9525317,2011-11-11,WO,00,PCT/JP2011/076072,pct_application
8846383,2003-06-21,WO,00,PCT/EP03/06565,pct_application
8633378,2008-03-13,WO,A,WO2008/029716,wo_grant
7729660,2006-04-14,WO,00,PCT/JP2006/307966,pct_application
8714808,2005-08-22,WO,00,PCT/JP2005/015211,pct_application
9346029,2006-12-14,WO,A,WO2006/130978,wo_grant
7653882,2004-03-12,WO,00,PCT/EP2004/002561,pct_application
8810074,2009-01-30,WO,00,PCT/US2009/000621,pct_application
10830566,2017-09-14,WO,00,PCT/GB2017/052721,pct_application
10304228,2015-09-18,WO,00,PCT/JP2015/076644,pct_application
10136114,2015-12-03,WO,A,WO2015/180646,wo_grant
8342243,2007-11-15,WO,00,PCT/US2007/024106,pct_application
7557773,2004-10-28,WO,A,WO2004/093334,wo_grant
5231976,1990-10-04,WO,A,WO90/11052,wo_grant
6280542,1997-12-11,WO,A,WO97/46332,wo_grant
11117692,2013-02-05,WO,00,PCT/FR2013/050238,pct_application
11375895,2018-04-03,WO,00,PCT/US2018/025956,pct_application
10996159,2018-07-19,WO,00,PCT/GB2018/052039,pct_application
10426708,2015-12-23,WO,00,PCT/IL2015/051252,pct_application
7936526,2007-12-12,WO,00,PCT/KR2007/006466,pct_application
7285618,2001-03-06,WO,00,PCT/JP01/01729,pct_application
4864555,1987-02-05,WO,00,PCT/SU87/00021,pct_application
9205072,2006-09-26,WO,00,PCT/RU2006/000501,pct_application
10462273,2017-08-10,WO,A,WO2017/136507,wo_grant
7840541,2005-10-13,WO,A,WO2005/096154,wo_grant
8174254,2007-04-26,WO,00,PCT/EP2007/003705,pct_application
8251187,2009-09-02,WO,00,PCT/EP2009/006341,pct_application
8071523,2005-11-03,WO,A,WO2005/103334,wo_grant
7506823,2003-12-15,WO,00,PCT/EP03/14240,pct_application
8722833,2008-07-03,WO,A,WO2008/077530,wo_grant
11142641,2017-05-17,WO,00,PCT/FR2017/051192,pct_application
8796235,2004-09-10,WO,A,WO2004/076664,wo_grant
9961543,2015-10-01,WO,A,WO2015/143847,wo_grant
10954777,2016-02-29,WO,00,PCT/US2016/020037,pct_application
7880420,2007-01-18,WO,A,WO2007/006173,wo_grant
10582885,2015-05-06,WO,00,PCT/EP2015/059916,pct_application
10465577,2016-06-20,WO,00,PCT/EP2016/064153,pct_application
6177052,1996-02-19,WO,00,PCT/DE96/01542,pct_application
11436749,2018-01-17,WO,00,PCT/GB2018/050134,pct_application
11013448,2017-09-26,WO,00,PCT/EP2017/074291,pct_application
10720798,2015-06-04,WO,00,PCT/CN2015/080755,pct_application
8473790,2010-05-06,WO,A,WO2010/049422,wo_grant
7637459,2004-08-10,WO,00,PCT/US2004/025821,pct_application
9435423,2014-03-07,WO,00,PCT/JP2014/055930,pct_application
9982493,2013-07-22,WO,00,PCT/IB2013/056008,pct_application
5417343,1991-03-01,WO,00,PCT/EP91/00380,pct_application
8971010,2012-02-16,WO,A,WO2012/020832,wo_grant
9560563,2013-01-25,WO,00,PCT/KR2013/000635,pct_application
9880429,2014-04-03,WO,A,WO2014/050672,wo_grant
9427471,2013-07-04,WO,A,WO2013/097074,wo_grant
8259636,2008-06-20,WO,00,PCT/IB2008/052444,pct_application
7775793,2005-11-10,WO,A,WO2005/104982,wo_grant
11247477,2018-07-13,WO,00,PCT/US2018/041957,pct_application
9624661,2013-08-14,WO,00,PCT/EP2013/002443,pct_application
7839270,2006-03-22,WO,00,PCT/JP2006/305714,pct_application
11313675,2019-11-07,WO,A,WO2019/212042,wo_grant
7985549,2007-05-15,WO,00,PCT/IB2007/002373,pct_application
9080741,2011-07-14,WO,A,WO2011/093386,wo_grant
9855815,2013-08-29,WO,A,WO2013/124173,wo_grant
9655762,2012-06-11,WO,00,PCT/US2012/041891,pct_application
10800575,2017-05-31,WO,00,PCT/ES2017/070377,pct_application
4542077,1984-08-02,WO,A,WO84/02931,wo_grant
5965858,1995-04-14,WO,00,PCT/JP95/00729,pct_application
8581038,2010-03-04,WO,A,WO2010/022443,wo_grant
9215760,2012-10-04,WO,00,PCT/EP2012/069567,pct_application
10464883,2016-10-20,WO,A,WO2016/168118,wo_grant
10041543,2015-10-15,WO,A,WO2015/155247,wo_grant
6809165,2001-10-11,WO,A,WO01/74908,wo_grant
9231273,2012-12-27,WO,00,PCT/KR2012/011616,pct_application
5274523,1991-10-17,WO,A,WO91/15848,wo_grant
10042082,2014-12-04,WO,00,PCT/US2014/068570,pct_application
11364783,2019-03-15,WO,00,PCT/JP2019/010907,pct_application
10574419,2017-02-16,WO,A,WO2017/026971,wo_grant
9589907,2014-06-05,WO,A,WO2014/083782,wo_grant
8030429,2008-07-10,WO,A,WO2008/081890,wo_grant
6773920,2000-10-05,WO,A,WO00/58488,wo_grant
9283276,2008-08-14,WO,00,PCT/US2008/009771,pct_application
8302404,2007-08-30,WO,A,WO2007/096294,wo_grant
8654986,2009-04-30,WO,A,WO2009/053517,wo_grant
7683354,2006-01-04,WO,00,PCT/EP2006/050046,pct_application
7814800,2006-08-31,WO,A,WO2006/091089,wo_grant
8741017,2009-07-21,WO,00,PCT/US2009/051214,pct_application
9562055,2012-05-09,WO,00,PCT/US2012/037003,pct_application
4334096,1979-07-24,WO,00,PCT/JP79/00192,pct_application
9210801,2014-06-19,WO,A,WO2014/089823,wo_grant
9968423,2016-03-10,WO,A,WO2016/035614,wo_grant
7332100,2003-12-19,WO,00,PCT/IT03/00843,pct_application
6094157,1998-03-12,WO,A,WO98/10310,wo_grant
7886812,2005-05-06,WO,A,WO2005/040710,wo_grant
10340665,2016-10-20,WO,00,PCT/EP2016/075168,pct_application
6144111,1997-08-28,WO,A,WO97/31385,wo_grant
9020764,2008-03-10,WO,00,PCT/DE2008/000422,pct_application
8313017,2008-11-27,WO,A,WO2008/142299,wo_grant
6486201,2000-06-02,WO,A,WO00/31058,wo_grant
9184338,2011-09-28,WO,00,PCT/JP2011/005485,pct_application
10772931,2015-10-29,WO,A,WO2015/164822,wo_grant
9751910,2014-07-03,WO,00,PCT/KR2014/005959,pct_application
6271460,1999-07-08,WO,A,WO99/34450,wo_grant
11057593,2019-02-20,WO,00,PCT/EP2019/054222,pct_application
8372376,2007-11-29,WO,A,WO2007/135266,wo_grant
8393378,2009-05-14,WO,00,PCT/FR2009/050894,pct_application
10670447,2017-02-22,WO,00,PCT/ES2017/070098,pct_application
11102887,2018-12-14,WO,00,PCT/JP2018/046118,pct_application
10150865,2016-03-14,WO,00,PCT/JP2016/057887,pct_application
9217006,2009-10-14,WO,00,PCT/EP2009/007360,pct_application
8999637,2009-11-20,WO,00,PCT/EP2009/008275,pct_application
6666003,2000-03-23,WO,A,WO00/16340,wo_grant
9278170,2011-06-16,WO,A,WO2011/070363,wo_grant
10944066,2017-07-13,WO,A,WO2017/118805,wo_grant
6518058,1999-10-07,WO,A,WO99/50436,wo_grant
RE43897,2001-03-27,WO,00,PCT/JP01/02489,pct_application
7240525,2005-04-07,WO,A,WO2005/031093,wo_grant
8449576,2008-01-03,WO,A,WO2008/003047,wo_grant
10435081,2016-03-03,WO,A,WO2016/031964,wo_grant
9598540,2011-06-03,WO,A,WO2011/064154,wo_grant
9511070,2014-03-06,WO,A,WO2014/036443,wo_grant
