patent_id,wipo_field_sequence,wipo_field_id,wipo_sector_title,wipo_field_title
8459224,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
9331550,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
5790888,0,4.0,Electrical engineering,Digital communication
7538462,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
5453670,0,32.0,Mechanical engineering,Transport
5549808,1,8.0,Electrical engineering,Semiconductors
10562632,0,32.0,Mechanical engineering,Transport
10408177,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
10830160,1,31.0,Mechanical engineering,Mechanical elements
5944248,0,26.0,Mechanical engineering,Machine tools
8661029,1,7.0,Electrical engineering,IT methods for management
8789715,0,25.0,Mechanical engineering,Handling
6813854,0,29.0,Mechanical engineering,Other special machines
5849943,1,16.0,Chemistry,Pharmaceuticals
7615358,0,11.0,Instruments,Analysis of biological materials
4840890,0,14.0,Chemistry,Organic fine chemistry
7980783,0,35.0,Other fields,Civil engineering
10788063,1,31.0,Mechanical engineering,Mechanical elements
9898721,2,7.0,Electrical engineering,IT methods for management
4948871,0,17.0,Chemistry,"Macromolecular chemistry, polymers"
7739658,1,6.0,Electrical engineering,Computer technology
6249251,0,3.0,Electrical engineering,Telecommunications
8389974,0,8.0,Electrical engineering,Semiconductors
5723471,1,19.0,Chemistry,Basic materials chemistry 
9871587,0,3.0,Electrical engineering,Telecommunications
8885398,2,22.0,Chemistry,Micro-structural and nano-technology
10830156,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
7268200,0,8.0,Electrical engineering,Semiconductors
10981647,0,32.0,Mechanical engineering,Transport
9552108,3,34.0,Other fields,Other consumer goods
5408355,0,9.0,Instruments,Optics
10810359,1,4.0,Electrical engineering,Digital communication
7459708,2,22.0,Chemistry,Micro-structural and nano-technology
10543134,0,13.0,Instruments,Medical technology
7346718,0,6.0,Electrical engineering,Computer technology
4323509,0,14.0,Chemistry,Organic fine chemistry
7009506,0,32.0,Mechanical engineering,Transport
9462414,0,4.0,Electrical engineering,Digital communication
8456897,0,6.0,Electrical engineering,Computer technology
6597857,0,2.0,Electrical engineering,Audio-visual technology
9510040,0,4.0,Electrical engineering,Digital communication
6772750,1,29.0,Mechanical engineering,Other special machines
11005879,0,4.0,Electrical engineering,Digital communication
4786301,0,30.0,Mechanical engineering,Thermal processes and apparatus
11096227,0,4.0,Electrical engineering,Digital communication
