patent_id,ipc_sequence,classification_level,section,ipc_class,subclass,main_group,subgroup,symbol_position,classification_value,classification_status,classification_data_source,action_date,ipc_version_indicator
9947069,0,A,G,6,T,1,20,F,I,B,H,2018-04-17,2006-01-01
7109400,0,A,A,1,H,5,00,F,I,B,H,2006-09-19,2006-01-01
10735942,0,A,H,4,W,8,8,F,I,B,H,2020-08-04,2009-01-01
10285913,5,A,C,8,F,265,6,L,I,B,H,2019-05-14,2006-01-01
10998412,11,A,H,1,L,29,78,L,I,B,H,2021-05-04,2006-01-01
9805756,7,A,C,9,K,13,00,L,N,B,H,2017-10-31,2006-01-01
10598405,7,A,F,24,H,8,0,L,I,B,H,2020-03-24,2006-01-01
9267930,1,A,C,7,K,16,44,L,I,B,H,2016-02-23,2006-01-01
11183963,1,A,H,2,P,3,20,L,I,B,H,2021-11-23,2006-01-01
9457223,2,A,A,63,B,22,00,L,I,B,H,2016-10-04,2006-01-01
9026717,5,A,G,6,F,3,06,L,I,B,H,2015-05-05,2006-01-01
10307743,20,A,B,1,D,53,94,L,I,B,H,2019-06-04,2006-01-01
7686812,2,A,A,61,F,2,00,L,I,B,H,2010-03-30,2006-01-01
5649261,0,,G,3,D,13,00,,,,,,
9101384,9,A,A,61,B,17,34,L,N,B,H,2015-08-11,2006-01-01
9715670,2,A,G,6,Q,10,08,L,I,B,H,2017-07-25,2012-01-01
9515055,2,A,H,1,L,33,48,L,N,B,H,2016-12-06,2010-01-01
9462544,5,A,H,4,W,48,12,L,N,B,H,2016-10-04,2009-01-01
7651615,0,A,C,2,F,3,00,F,I,B,H,2010-01-26,2006-01-01
9987234,16,A,A,61,K,9,0,L,I,B,H,2018-06-05,2006-01-01
10800822,2,A,A,61,P,27,2,L,I,B,H,2020-10-13,2006-01-01
6835692,0,,B,41,M,5,20,,,,,,
5602190,0,,C,8,J,9,08,,,,,,
9628143,3,A,H,1,P,3,127,L,I,B,H,2017-04-18,2006-01-01
5830349,0,,B,1,D,27,10,,,,,,
8231853,2,A,C,1,B,7,01,L,I,B,H,2012-07-31,2006-01-01
9804397,7,A,H,4,N,13,04,L,I,B,H,2017-10-31,2006-01-01
5137783,0,,B,32,B,15,08,,,,,,
9810400,5,A,F,21,V,17,02,L,N,B,H,2017-11-07,2006-01-01
10946043,0,A,A,61,K,35,15,F,I,B,H,2021-03-16,2015-01-01
7052111,1,A,B,41,J,2,15,L,I,B,H,2006-05-30,2006-01-01
4980677,0,,H,4,B,1,00,,,,,,
9430803,3,A,G,6,Q,10,06,L,I,B,H,2016-08-30,2012-01-01
4437094,1,,G,8,B,21,00,,,,,,
7189578,4,A,B,1,D,57,02,L,I,B,H,2007-03-13,2006-01-01
9806450,5,A,H,1,R,24,86,L,I,B,H,2017-10-31,2011-01-01
9311299,0,A,G,6,F,17,28,F,I,B,H,2016-04-12,2006-01-01
7101557,2,A,A,61,K,39,395,L,I,B,H,2006-09-05,2006-01-01
11320242,1,A,G,2,B,27,1,L,I,B,H,2022-05-03,2006-01-01
4454546,1,,H,4,N,1,00,,,,,,
10357143,2,A,A,61,B,1,12,L,I,B,H,2019-07-23,2006-01-01
10316444,1,A,D,4,H,3,18,L,I,B,H,2019-06-11,2012-01-01
11004558,0,A,G,16,H,20,60,F,I,B,H,2021-05-11,2018-01-01
10560952,4,A,H,4,W,52,4,L,I,B,H,2020-02-11,2009-01-01
7315751,2,A,G,6,F,3,33,L,I,B,H,2008-01-01,2006-01-01
9799877,3,A,H,1,M,4,02,L,N,B,H,2017-10-24,2006-01-01
4632293,1,,H,5,K,3,00,,,,,,
6960680,3,,C,7,C,255,/20,,,,,,
10130510,3,A,A,61,F,9,9,L,I,B,H,2018-11-20,2006-01-01
4257721,1,,B,63,B,21,26,,,,,,
7274997,0,A,G,1,R,25,00,F,I,B,H,2007-09-25,2006-01-01
10975441,7,A,C,12,Q,1,6888,L,I,B,H,2021-04-13,2018-01-01
10223065,0,A,G,6,F,3,48,F,I,B,H,2019-03-05,2013-01-01
10776363,4,A,G,6,F,16,22,L,I,B,H,2020-09-15,2019-01-01
9667950,1,A,H,4,N,13,00,L,N,B,H,2017-05-30,2006-01-01
10673828,19,A,G,6,N,3,10,L,I,B,H,2020-06-02,2006-01-01
8972176,0,A,G,9,B,29,10,F,I,B,H,2015-03-03,2006-01-01
11000513,8,A,A,61,K,9,0,L,I,B,H,2021-05-11,2006-01-01
6992386,2,A,H,1,L,29,40,L,I,B,H,2006-01-31,2006-01-01
9207930,0,A,G,6,F,17,30,F,I,B,H,2015-12-08,2006-01-01
9324764,2,A,H,1,L,27,15,L,I,B,H,2016-04-26,2006-01-01
7982624,9,A,B,23,Q,5,00,L,I,B,H,2011-07-19,2006-01-01
9327400,1,A,B,25,J,13,00,L,I,B,H,2016-05-03,2006-01-01
8326983,0,A,G,6,F,15,16,F,I,B,H,2012-12-04,2006-01-01
6424851,0,,A,61,B,5,00,,,,,,
4978738,0,,C,8,C,2,00,,,,,,
8317752,0,A,A,61,M,1,00,F,I,B,H,2012-11-27,2006-01-01
8602638,0,A,A,44,C,5,02,F,I,B,H,2013-12-10,2006-01-01
