patent_id,citation_sequence,citation_application_id,citation_date,citation_category,citation_country
7768445,1,1775600,2007-04-01,cited by examiner,EP
11030752,6,WO 98/37655,1998-08-01,cited by applicant,WO
8579622,2,102008012757,2009-09-01,cited by applicant,DE
11284363,2,103718614,2014-04-01,cited by applicant,CN
9322357,2,0 105 828,1984-04-01,cited by applicant,EP
9113925,63,8056955,1996-03-01,cited by applicant,JP
7900551,4,28 31 566,1979-02-01,cited by other,DE
10886602,10,10-2011-0035196,2011-04-01,cited by applicant,KR
5099757,1,3819345,1989-12-01,,DE
5703028,2,1223739,1971-03-01,,GBX
10626301,9,2014-067507,2014-04-01,cited by applicant,JP
9596795,8,1503872,1978-03-01,cited by applicant,GB
11340243,1,2005-045370,2005-02-01,cited by applicant,JP
4074608,0,"21,128",1971-06-01,,JA
10515299,0,1695163,2005-11-01,cited by applicant,CN
6829077,83,WO 00/07225,2000-02-01,cited by other,WO
7609236,1,WO 90/13148,1990-11-01,cited by other,WO
7052742,11,2000017264,2000-01-01,cited by examiner,JP
6586190,2,WO 99 19515,1999-04-01,cited by other,WO
11001884,5,WO 05/023091,2005-03-01,cited by applicant,WO
7057268,0,19734794,1997-08-01,cited by other,DE
8161820,4,06-213746,1994-08-01,cited by other,JP
9271554,11,9-010037,1997-01-01,cited by applicant,JP
9781120,3,2014041395,2014-03-01,cited by applicant,WO
6300565,3,0519202A1,1992-12-01,,EP
9656783,169,2010080810,2010-07-01,cited by applicant,WO
10632541,18,03/045621,2003-06-01,cited by applicant,WO
D808799,213,2006089096,2006-04-01,cited by applicant,JP
7744144,3,197 53 209,1999-02-01,cited by other,DE
11391918,4,105445898,2016-03-01,cited by applicant,CN
8400841,18,WO 00/46808,2000-08-01,cited by applicant,WO
11041830,3,2006084454,2006-03-01,cited by examiner,JP
8648105,74,WO-2010/099238,2010-09-01,cited by applicant,WO
10227437,58,2007077292,2007-03-01,cited by applicant,JP
8878844,7,102005062132,2007-07-01,cited by applicant,DE
8827646,9,2008-038774,2008-02-01,cited by applicant,JP
10886660,1,2008-042771,2008-02-01,cited by applicant,JP
7692445,0,2001-326417,2001-11-01,cited by other,JP
8425331,12,2004-329914,2004-11-01,cited by applicant,JP
9232945,83,737446,1996-10-01,cited by applicant,EP
7985256,2,WO 2004/016250,2004-02-01,cited by other,WO
10362369,2,2006-270869,2006-10-01,cited by applicant,JP
8946665,2,2011-199131,2011-10-01,cited by applicant,JP
8606632,14,WO 99/33012,1999-07-01,cited by applicant,WO
9137438,25,200614092,2006-05-01,cited by applicant,TW
9458064,2,927710,1999-07-01,cited by applicant,EP
8169446,2,WO 2005/034067,2005-04-01,cited by other,WO
7522340,2,1742492,2007-01-01,cited by other,EP
6173506,19,7801940,1979-08-01,,NL
10441982,14,200945632,2009-03-01,cited by examiner,JP
RE45471,2,08-310970,1996-11-01,cited by applicant,JP
11140374,4,102821291,2012-12-01,cited by applicant,CN
5681551,0,0 266 921 A2,1988-05-01,,EPX
10133580,0,101377736,2009-03-01,cited by applicant,CN
9539003,147,WO-2006023661,2006-03-01,cited by applicant,WO
6102956,8,8903850 U,1989-07-01,,DE
9687675,45,07-255717,1995-10-01,cited by applicant,JP
7972709,5,2003-293187,2003-10-01,cited by other,JP
6751227,5,WO 99/39525,1999-08-01,cited by other,WO
6961572,1,WO 91/07020,1991-05-01,cited by other,WO
5206797,2,14648,1980-02-01,,JP
11375861,128,1020050091833,2005-09-01,cited by applicant,KR
10634194,5,799155,1958-08-01,cited by applicant,GB
11402544,95,2014133514,2014-09-01,cited by applicant,WO
9987422,10,WO 97/21456,1997-06-01,cited by applicant,WO
8795122,5,46-36927,1971-10-01,cited by applicant,JP
11001084,8,2322435,2011-05-01,cited by applicant,EP
10117476,57,1072204,2001-01-01,cited by applicant,EP
7511519,1,2002-296297,2002-10-01,cited by other,JP
10110123,2,2004-328945,2004-11-01,cited by applicant,JP
7517965,1,0 287 028,1988-10-01,cited by other,EP
9052791,19,2011-65575,2011-03-01,cited by applicant,JP
5932124,6,55-166892,1980-12-01,,JP
6984735,14,WO 99/43672,1999-09-01,cited by other,WO
10048418,7,1020130034778,2013-04-01,cited by applicant,KR
6208869,0,0 802 692 A2,1997-10-01,,EP
