patent_id,raw_examiner_name_first,raw_examiner_name_last,examiner_role,art_group
9546443,Michael,Barr,primary,1711.0
6811401,Derris H.,Banks,primary,3712.0
5302316,Edward A.,Miller,primary,
5342017,Allan M.,Schrock,assistant,
11332551,Vu A,Nguyen,primary,1762.0
6833923,Frank G.,Font,primary,2877.0
5805675,Stella                        ,Woo,primary,
8284354,Tina,Wong,primary,2874.0
D574323,Derrick,Holland,assistant,2912.0
8616241,John,Fox,primary,3753.0
4809111,David J.,Severin,assistant,
4428976,James R.,Hoffman,primary,
4464277,Jacqueline V.,Howard,primary,
9445653,Ammar,Hamid,primary,2654.0
D732219,Brian N,Vinson,primary,2913.0
8978397,Allen,Flanigan,primary,3744.0
4168280,Norman,Morgenstern,primary,
7959059,Kuang Y,Lin,primary,1735.0
8675670,Hassan,Phillips,primary,2467.0
10313520,Phung-Hoang J,Nguyen,primary,2656.0
9787854,Nafiz E,Hoque,primary,2652.0
9023626,Tekchand,Saidha,primary,1652.0
8375782,Lisa,Caputo,primary,2856.0
11416894,E,Carvalho,primary,3622.0
10331573,Craig S,Goldschmidt,assistant,2132.0
9092257,Chuong D,Ngo,primary,2193.0
10002111,Stephen S,Hong,primary,2178.0
10880526,Peet,Dhillon,primary,2488.0
4008402,T. N.,Grigsby,assistant,
9107942,Allison,Fox,primary,1651.0
5766273,Jerry D.                      ,Johnson,primary,
7392727,Joseph J.,"Hail, III",primary,3723.0
8326293,Nguyen,Vo,primary,2618.0
4570995,Francis K.,Zugel,primary,
5091758,Andrew J.,James,primary,
7651794,Louis,Falasco,assistant,1794.0
10643369,Kim Thanh T,Tran,assistant,2612.0
8877158,Michael G,Hartley,primary,1618.0
9278352,Lyle,Alexander,primary,1797.0
10485138,Allen J,Flanigan,primary,3763.0
D428034,Adir,Aronovich,primary,
7078376,Regina M.,DeBerry,assistant,1647.0
D347206,Kay H.,Chin,primary,
9215198,David,Lazaro,primary,2455.0
5896015,Hoanganh,Le,primary,
7805111,Melur,Ramakrishnaiah,primary,2614.0
8832654,Thuy,Dao,primary,2192.0
6241189,Jeffrey L.,Gellner,assistant,
D826877,Michael Aaron,Pratt,primary,2914.0
8075816,Jill,Heitbrink,primary,1743.0
4456877,B. J.,Kelley,assistant,
9670980,Katherine,Mitchell,primary,3634.0
11019154,Christopher B,Robinson,primary,2457.0
4655730,James A.,Leppink,primary,
10548652,James,Moss,assistant,3792.0
11419989,Bhisma,Mehta,primary,3783.0
6862111,Scott A.,Rogers,primary,2626.0
5137203,Jeanne M.,Elpel,assistant,
D719998,Raphael,Barkai,primary,2918.0
8920834,Hasan,Ahmed,primary,1615.0
10437364,Andrew,Sasinowski,primary,2625.0
7067613,Terressa,Boykin,primary,1711.0
6928271,Shaima Q.,Aminzay,assistant,2684.0
7893331,Kimberly R,Lockett,primary,2832.0
6177183,Robert,Dawson,primary,
8310455,Fred,Tzeng,primary,2627.0
6772169,Diane D.,Mizrahi,primary,2175.0
9917267,Mohammad M,Hoque,assistant,2817.0
