cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B5/14553,"Measuring for diagnostic purposes ; Identification of persons-Measuring characteristics of blood in vivo, e.g. gas concentration, pH value; ; Measuring characteristics of body fluids or tissues, e.g. interstitial fluid, cerebral tissue-using optical sensors, e.g. spectral photometrical oximeters-for measuring blood gases-specially adapted for cerebral tissue",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
G11B,INFORMATION STORAGE BASED ON RELATIVE MOVEMENT BETWEEN RECORD CARRIER AND TRANSDUCER ,G11B5/845,Recording by magnetisation or demagnetisation of a record carrier; Reproducing by magnetic means; Record carriers therefor -Processes or apparatus specially adapted for manufacturing record carriers-Coating a support with a liquid magnetic dispersion-in a magnetic field,G11,INFORMATION STORAGE
H03M,CODING; DECODING; CODE CONVERSION IN GENERAL ,H03M3/464,Conversion of analogue values to or from differential modulation-Delta-sigma modulation-Analogue/digital converters using delta-sigma modulation as an intermediate step-Details of the digital/analogue conversion in the feedback path,H03,BASIC ELECTRONIC CIRCUITRY
B29K,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS OR TO MATERIALS FOR ; MOULDS, ;  REINFORCEMENTS, FILLERS OR PREFORMED PARTS, e.g. INSERTS",B29K2911/08,"Use of natural products or their composites, not provided for in groups B29K2801/00 - B29K2809/00, as mould material-Leather",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
A63J,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE; CONJURING APPLIANCES OR THE LIKE",A63J5/02,"Auxiliaries for producing special effects on stages, or in circuses or arenas-Arrangements for making stage effects; Auxiliary stage appliances",A63,SPORTS; GAMES; AMUSEMENTS
F16D,COUPLINGS FOR TRANSMITTING ROTATION; CLUTCHES; BRAKES,F16D2500/1087,External control of clutches by electric or electronic means-System to be controlled-Gear-Planetary gearing,F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
F16D,COUPLINGS FOR TRANSMITTING ROTATION; CLUTCHES; BRAKES,F16D3/72,"Yielding couplings, i.e. with means permitting movement between the connected parts during the drive -with the coupling parts connected by one or more intermediate members -with axially-spaced attachments to the coupling parts ",F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",B01F23/39,"Mixing according to the phases to be mixed, e.g. dispersing or emulsifying-Mixing gases with solids-Mixing systems, i.e. flow charts or diagrams",B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL; FUNCTIONAL ELEMENTS OF SUCH SYSTEMS; MONITORING OR TESTING ARRANGEMENTS FOR SUCH SYSTEMS OR ELEMENTS ,G05B2219/23051,"Program-control systems-Pc systems-Pc programming-Remote control, enter program remote, detachable programmer",G05,CONTROLLING; REGULATING
A44C,"PERSONAL ADORNMENTS, e.g. JEWELLERY; COINS",A44C15/0085,"Other forms of jewellery-Jewellery specially adapted to be worn on a specific part of the body not fully provided for in groups A44C1/00 - A44C9/00 -on the leg, foot or toes",A44,HABERDASHERY; JEWELLERY
B60C,VEHICLE TYRES; TYRE INFLATION; TYRE CHANGING; CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES,B60C23/0467,"Devices for measuring, signalling, controlling, or distributing tyre pressure or temperature, specially adapted for mounting on vehicles; Arrangement of tyre inflating devices on vehicles, e.g. of pumps or of tanks; Tyre cooling arrangements-Signalling devices actuated by tyre pressure -mounted on the wheel or tyre-transmitting the signals by non-mechanical means from the wheel or tyre to a vehicle body mounted receiver-characterised by the type of signal transmission means-Electric contact means, e.g. slip-rings, rollers, brushes",B60,VEHICLES IN GENERAL
A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT ",A63B2208/0238,"Characteristics or parameters related to the user or player -posture-Sitting on the buttocks-with stretched legs, like on a bed",A63,SPORTS; GAMES; AMUSEMENTS
B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS",B01J2531/37,Additional information regarding catalytic systems classified in B01J31/00-Complexes comprising metals of Group III (IIIA or IIIB) as the central metal-Lanthanum,B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
F16D,COUPLINGS FOR TRANSMITTING ROTATION; CLUTCHES; BRAKES,F16D2121/12,"Type of actuator operation force-Fluid pressure-for releasing a normally applied brake, the type of actuator being irrelevant or not provided for in groups F16D2121/04 - F16D2121/10",F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",B01F2001/0072,Dissolving -Elements used for separating or keeping undissolved material in the mixer,B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B03C,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS ,B03C1/031,Magnetic separation-acting directly on the substance being separated-High gradient magnetic separators-Component parts; Auxiliary operations,B03,SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS; MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS
A23K,FODDER,A23K50/48,"Feeding-stuffs specially adapted for particular animals-for carnivorous animals, e.g. cats or dogs-Moist feed",A23,"FOODS OR FOODSTUFFS; TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES"
G01M,"TESTING STATIC OR DYNAMIC BALANCE OF MACHINES OR STRUCTURES; TESTING OF STRUCTURES OR APPARATUS, NOT OTHERWISE PROVIDED FOR",G01M3/26,"Investigating fluid-tightness of structures-by using fluid or vacuum-by measuring rate of loss or gain of fluid, e.g. by pressure-responsive devices, by flow detectors",G01,MEASURING; TESTING
G06K,GRAPHICAL DATA READING ; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS,G06K7/082,"Methods or arrangements for sensing record carriers, ; e.g. for reading patterns;  -by means detecting the change of an electrostatic or magnetic field, e.g. by detecting change of capacitance between electrodes-using inductive or magnetic sensors",G06,COMPUTING; CALCULATING; COUNTING
B41J,"TYPEWRITERS; SELECTIVE PRINTING MECHANISMS, ; e.g. INK-JET PRINTERS, THERMAL PRINTERS; , i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS ",B41J9/40,Hammer-impression mechanisms-Means for operating hammers to effect impression-including an electro-adhesive clutch,B41,PRINTING; LINING MACHINES; TYPEWRITERS; STAMPS
B21B,ROLLING OF METAL ,B21B45/0215,"Devices for surface ; or other;  treatment of work, specially combined with or arranged in, or specially adapted for use in connection with, metal-rolling mills -for lubricating, cooling, or cleaning -Cooling-Cooling devices, e.g. using gaseous coolants-using liquid coolants, e.g. for sections, for tubes",B21,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL
B41F,PRINTING MACHINES OR PRESSES ,B41F1/12,"Platen presses, i.e. presses in which printing is effected by at least one essentially-flat pressure-applying member co-operating with a flat type-bed-for multi-impression printing in one or more colours, e.g. on webs-on sheets",B41,PRINTING; LINING MACHINES; TYPEWRITERS; STAMPS
