cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
F28F,"DETAILS OF HEAT-EXCHANGE AND HEAT-TRANSFER APPARATUS, OF GENERAL APPLICATION ",F28F21/02,"Constructions of heat-exchange apparatus characterised by the selection of particular materials -of carbon, e.g. graphite",F28,HEAT EXCHANGE IN GENERAL
F04C,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS",F04C2270/50,Control; Monitoring or safety arrangements-Conditions before a throttle,F04,POSITIVE - DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS FOR LIQUIDS OR ELASTIC FLUIDS
G06F,ELECTRIC DIGITAL DATA PROCESSING ,G06F15/7835,Digital computers in general ; Data processing equipment in general-Architectures of general purpose stored program computers -comprising a single central processing unit-without memory-on more than one IC chip,G06,COMPUTING; CALCULATING; COUNTING
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T442/56,"Fabric [woven, knitted, or nonwoven textile or cloth, etc.]-FELT FABRIC-From synthetic organic fiber",Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2224/45287,"Indexing scheme for arrangements for connecting or disconnecting semiconductor or solid-state bodies and methods related thereto as covered by H01L24/00-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Wire connectors; Manufacturing methods related thereto-Structure, shape, material or disposition of the wire connectors prior to the connecting process-of an individual wire connector-Core members of the connector-Material-with a principal constituent of the material being a combination of two or more materials in the form of a matrix with a filler, i.e. being a hybrid material, e.g. segmented structures, foams-Material of the matrix-with a principal constituent of the material being a non metallic, non metalloid inorganic material-Ceramics, e.g. crystalline carbides, nitrides or oxides ",H01,BASIC ELECTRIC ELEMENTS
C12N,"MICROORGANISMS OR ENZYMES; COMPOSITIONS THEREOF; PROPAGATING, PRESERVING, OR MAINTAINING MICROORGANISMS; MUTATION OR GENETIC ENGINEERING; CULTURE MEDIA ",C12N2710/16242,"dsDNA viruses-Details-Herpesviridae-Lymphocryptovirus, e.g. human herpesvirus 4, Epstein-Barr Virus-Use of virus, viral particle or viral elements as a vector-virus or viral particle as vehicle, e.g. encapsulating small organic molecule",C12,BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING
B26D,"CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERING ",B26D3/14,Cutting work characterised by the nature of the cut made; Apparatus therefor-Forming notches in marginal portion of work by cutting ,B26,HAND CUTTING TOOLS; CUTTING; SEVERING
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2224/29864,"Indexing scheme for arrangements for connecting or disconnecting semiconductor or solid-state bodies and methods related thereto as covered by H01L24/00-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Layer connectors, e.g. plate connectors, solder or adhesive layers; Manufacturing methods related thereto-Structure, shape, material or disposition of the layer connectors prior to the connecting process-of an individual layer connector-Coating-Material-with a principal constituent of the material being a combination of two or more materials in the form of a matrix with a filler, i.e. being a hybrid material, e.g. segmented structures, foams-Fillers-Base material-with a principal constituent of the material being a metal or a metalloid, e.g. boron [B], silicon [Si], germanium [Ge], arsenic [As], antimony [Sb], tellurium [Te] and polonium [Po], and alloys thereof-the principal constituent melting at a temperature of greater than 1550°C-Palladium [Pd] as principal constituent",H01,BASIC ELECTRIC ELEMENTS
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",B01F13/0244,"Other mixers; Mixing plant, including combinations of ; mixers, e.g. of;  dissimilar mixers-Mixers with gas ; or liquid;  agitation, e.g. with air supply tubes -in receptacles having guiding conduits therein, e.g. for feeding the gas to the bottom of the receptacle-with vertical conduits through which the material is being moved upwardly driven by the fluid-with a central conduit or a central set of conduits",B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B2017/00252,"Surgical instruments, devices or methods, e.g. tourniquets -for minimally invasive surgery -Type of minimally invasive operation -cardiac-Making holes in the wall of the heart, e.g. laser Myocardial revascularization-for by-pass connections, i.e. connections from heart chamber to blood vessel or from blood vessel to blood vessel",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
G07D,"HANDLING OF COINS OR VALUABLE PAPERS, e.g. TESTING, SORTING BY DENOMINATIONS, COUNTING, DISPENSING, CHANGING OR DEPOSITING",G07D11/0087,"Devices accepting coins; Devices accepting, dispensing, sorting or counting valuable papers-Banknote changing devices",G07,CHECKING-DEVICES
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T82/15,Turning-Tapers,Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
B28C,"PREPARING CLAY; PRODUCING MIXTURES CONTAINING CLAY OR CEMENTITIOUS MATERIAL, e.g. PLASTER ",B28C7/0882,"Controlling the operation of apparatus for producing mixtures of clay or cement with other substances; Supplying or proportioning the ingredients for mixing clay or cement with other substances; Discharging the mixture -Supplying or proportioning the ingredients -Supplying the solid ingredients, e.g. by means of endless conveyors or jigging conveyors-by means of scrapers or skips-using skips to be hoisted along guides or to be tilted, to charge working-site concrete mixers -Parts; Accessories, e.g. safety devices-Skips",B28,"WORKING CEMENT, CLAY, OR STONE"
B29C,"SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING ",B29C2063/483,"Lining or sheathing, i.e. applying preformed layers or sheathings of plastics; Apparatus therefor -Preparation of the surfaces-by applying a liquid",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T29/53165,Metal working-Means to assemble or disassemble-Means to assemble electrical device-Magnetic memory device,Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2224/08168,"Indexing scheme for arrangements for connecting or disconnecting semiconductor or solid-state bodies and methods related thereto as covered by H01L24/00-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Bonding areas; Manufacturing methods related thereto-Structure, shape, material or disposition of the bonding areas after the connecting process-of an individual bonding area-Disposition-the bonding area connecting directly to another bonding area, i.e. connectorless bonding, e.g. bumpless bonding-the bonding area connecting between a semiconductor or solid-state body and an item not being a semiconductor or solid-state body, e.g. chip-to-substrate, chip-to-passive-the body and the item being arranged next to each other, e.g. on a common substrate-the item being non-metallic, e.g. being an insulating substrate with or without metallisation-the bonding area connecting to a bonding area protruding from the surface of the item",H01,BASIC ELECTRIC ELEMENTS
C07C,ACYCLIC OR CARBOCYCLIC COMPOUNDS,C07C29/76,"Preparation of compounds having hydroxy or O-metal groups bound to a carbon atom not belonging to a six-membered aromatic ring-Separation; Purification; Use of additives, e.g. for stabilisation-by physical treatment",C07,ORGANIC CHEMISTRY
E05D,"HINGES OR SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS ",E05D15/22,Suspension arrangements for wings -for wings sliding vertically more or less in their own plane-allowing an additional movement ,E05,LOCKS; KEYS; WINDOW OR DOOR FITTINGS; SAFES
C08F,MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS,C08F4/60044,"Polymerisation catalysts-Metals; Metal hydrides; Metallo-organic compounds; Use thereof as catalyst precursors-selected from light metals, zinc, cadmium, mercury, copper, silver, gold, boron, gallium, indium, thallium, rare earths or actinides-together with refractory metals, iron group metals, platinum group metals, manganese, rhenium ; technetium;  or compounds thereof-the metallic compound containing a multidentate ligand, i.e. a ligand capable of donating two or more pairs of electrons to form a coordinate or ionic bond-Bidentate ligand-Monoanionic ligand-NN",C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
H04B,TRANSMISSION,H04B10/07,"Transmission systems employing electromagnetic waves other than radio-waves, e.g. infrared, visible or ultraviolet light, or employing corpuscular radiation, e.g. quantum communication-Arrangements for monitoring or testing transmission systems; Arrangements for fault measurement of transmission systems",H04,ELECTRIC COMMUNICATION TECHNIQUE
C09K,"MATERIALS FOR MISCELLANEOUS APPLICATIONS, NOT PROVIDED FOR ELSEWHERE",C09K17/16,"Soil-conditioning materials or soil-stabilising materials -containing organic compounds only-applied in a physical form other than a solution or a grout, e.g. as platelets or granules",C09,DYES; PAINTS; POLISHES; NATURAL RESINS; ADHESIVES; COMPOSITIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR
C07D,HETEROCYCLIC COMPOUNDS ,C07D211/60,"Heterocyclic compounds containing hydrogenated pyridine rings, not condensed with other rings-with only hydrogen or carbon atoms directly attached to the ring nitrogen atom-having no double bonds between ring members or between ring members and non-ring members-with hetero atoms or with carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. ester or nitrile radicals, directly attached to ring carbon atoms-Carbon atoms having three bonds to hetero atoms with at the most one bond to halogen, e.g. ester or nitrile radicals",C07,ORGANIC CHEMISTRY
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B2018/00458,"Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body -for treatment of particular body parts-Skin-Deeper parts of the skin, e.g. treatment of vascular disorders or port wine stains",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL; FUNCTIONAL ELEMENTS OF SUCH SYSTEMS; MONITORING OR TESTING ARRANGEMENTS FOR SUCH SYSTEMS OR ELEMENTS ,G05B2219/45203,Program-control systems-Nc systems-Nc applications-Screwing,G05,CONTROLLING; REGULATING
F01M,LUBRICATING OF MACHINES OR ENGINES IN GENERAL; LUBRICATING INTERNAL COMBUSTION ENGINES; CRANKCASE VENTILATING,F01M13/02,Crankcase ventilating or breathing-by means of additional source of positive or negative pressure,F01,MACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES
C12Y,ENZYMES,C12Y301/01071,Hydrolases acting on ester bonds (3.1)-Carboxylic ester hydrolases (3.1.1)-Acetylalkylglycerol acetylhydrolase (3.1.1.71),C12,BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING
C12Y,ENZYMES,C12Y114/13029,"Oxidoreductases acting on paired donors, with incorporation or reduction of molecular oxygen (1.14)-with NADH or NADPH as one donor, and incorporation of one atom of oxygen (1.14.13)-4-Nitrophenol 2-monooxygenase (1.14.13.29)",C12,BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING
F27D,"DETAILS OR ACCESSORIES OF FURNACES, KILNS, OVENS, OR RETORTS, IN SO FAR AS THEY ARE OF KINDS OCCURRING IN MORE THAN ONE KIND OF FURNACE ",F27D2019/0062,"Arrangements of controlling devices-Regulation-Regulation involving the control of the conveyor movement, e.g. speed or sequences-control of the workpiece stay in different zones",F27,FURNACES; KILNS; OVENS; RETORTS
C08F,MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS,C08F4/62037,"Polymerisation catalysts-Metals; Metal hydrides; Metallo-organic compounds; Use thereof as catalyst precursors-selected from light metals, zinc, cadmium, mercury, copper, silver, gold, boron, gallium, indium, thallium, rare earths or actinides-together with refractory metals, iron group metals, platinum group metals, manganese, rhenium ; technetium;  or compounds thereof-Refractory metals or compounds thereof-the metallic compound containing a multidentate ligand, i.e. a ligand capable of donating two or more pairs of electrons to form a coordinate or ionic bond-Bidentate ligand-Neutral ligand-PS",C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
F16C,SHAFTS; FLEXIBLE SHAFTS; ELEMENTS OR CRANKSHAFT MECHANISMS; ROTARY BODIES OTHER THAN GEARING ELEMENTS; BEARINGS,F16C32/0457,Bearings not otherwise provided for-using magnetic or electric supporting means-Magnetic bearings-Active magnetic bearings-Details of devices to control the actuation of the electromagnets-Details of the power supply to the electromagnets,F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
F02P,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES; TESTING OF IGNITION TIMING IN COMPRESSION-IGNITION ENGINES ",F02P19/04,"Incandescent ignition, e.g. during starting of internal combustion engines; Combination of incandescent and spark ignition-non-electric, e.g. heating incandescent spots by burners ",F02,COMBUSTION ENGINES; HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS
H03F,AMPLIFIERS ,H03F3/213,"Amplifiers with only discharge tubes or only semiconductor devices as amplifying elements-Power amplifiers, e.g. Class B amplifiers, Class C amplifiers -with semiconductor devices only -in integrated circuits",H03,BASIC ELECTRONIC CIRCUITRY
B65B,"MACHINES, APPARATUS OR DEVICES FOR, OR METHODS OF, PACKAGING ARTICLES OR MATERIALS; UNPACKING ",B65B51/06,"Devices for, or methods of, sealing or securing package folds or closures; Devices for gathering or twisting wrappers, or necks of bags-Applying separate sealing or securing members, e.g. clips, -Applying adhesive tape",B65,CONVEYING; PACKING; STORING; HANDLING THIN OR FILAMENTARY MATERIAL
B60R,"VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR",B60R2021/132,"Arrangements or fittings on vehicles for protecting or preventing injuries to occupants or pedestrians in case of accidents or other traffic risks -Occupant safety arrangements or fittings ; , e.g. crash pads -Roll-over protection -Roll bars for convertible vehicles",B60,VEHICLES IN GENERAL
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",B01F33/302,Other mixers; Mixing plants; Combinations of mixers-Micromixers-the materials to be mixed flowing in the form of droplets,B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
C08J,"WORKING-UP; GENERAL PROCESSES OF COMPOUNDING; AFTER-TREATMENT NOT COVERED BY SUBCLASSES C08B, C08C, C08F, C08G or C08H ",C08J2383/02,"Characterised by the use of macromolecular compounds obtained by reactions forming in the main chain of the macromolecule a linkage containing silicon with or without sulfur, nitrogen, oxygen, or carbon only; Derivatives of such polymers-Polysilicates",C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
H04Q,SELECTING ,H04Q2213/13214,Indexing scheme relating to selecting arrangements in general and for multiplex systems-Clock signals,H04,ELECTRIC COMMUNICATION TECHNIQUE
B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES",B65D2251/0009,Details relating to container closures -Two or more closures-Upper closure-of the 17-type,B65,CONVEYING; PACKING; STORING; HANDLING THIN OR FILAMENTARY MATERIAL
H01R,ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS,H01R13/2485,Details of coupling devices of the kinds covered by groups H01R12/70 or H01R24/00 - H01R33/00-Contact members-Contacts for co-operating by abutting-resilient; resiliently-mounted-characterized by the contact point-for contacting a ball,H01,BASIC ELECTRIC ELEMENTS
D06N,"WALL, FLOOR, OR LIKE COVERING MATERIALS, e.g. LINOLEUM, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL; FLEXIBLE SHEET MATERIAL NOT OTHERWISE PROVIDED FOR",D06N3/0095,"Artificial leather, oilcloth or ; other;  material obtained by covering fibrous webs with macromolecular material, e.g. resins, rubber or derivatives thereof-characterised by the application technique-by inversion technique; by transfer processes",D06,TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
D01H,SPINNING OR TWISTING ,D01H3/16,"Spinning or twisting machines in which the product is wound-up intermittently, e.g. mules-Details -Spindle-driving arrangements ",D01,NATURAL OR MAN-MADE THREADS OR FIBRES; SPINNING
A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES ",A61K9/113,"Medicinal preparations characterised by special physical form -Dispersions; Emulsions -Emulsions ; ; Emulsion preconcentrates; Micelles -Multiple emulsions, e.g. oil-in-water-in-oil ",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
F25J,"LIQUEFACTION, SOLIDIFICATION OR SEPARATION OF GASES OR GASEOUS ; OR LIQUEFIED GASEOUS;  MIXTURES BY PRESSURE AND COLD TREATMENT ; OR BY BRINGING THEM INTO THE SUPERCRITICAL STATE ",F25J1/0232,"Processes or apparatus for liquefying or solidifying gases or gaseous mixtures -requiring the use of refrigeration, e.g. of helium or hydrogen ; Details and kind of the refrigeration system used; Integration with other units or processes; Controlling aspects of the process-Coupling of the liquefaction unit to other units or processes, so-called integrated processes -integration within a pressure letdown station of a high pressure pipeline system",F25,REFRIGERATION OR COOLING; COMBINED HEATING AND REFRIGERATION SYSTEMS; HEAT PUMP SYSTEMS; MANUFACTURE OR STORAGE OF ICE; LIQUEFACTION SOLIDIFICATION OF GASES
B23B,TURNING; BORING ,B23B2251/505,Details of tools for drilling machines-Drilling tools comprising cutting inserts-set at different heights,B23,MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR
C30B,SINGLE-CRYSTAL GROWTH ; UNIDIRECTIONAL SOLIDIFICATION OF EUTECTIC MATERIAL OR UNIDIRECTIONAL DEMIXING OF EUTECTOID MATERIAL; REFINING BY ZONE-MELTING OF MATERIAL ; PRODUCTION OF A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE ; SINGLE CRYSTALS OR HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE; AFTER-TREATMENT OF SINGLE CRYSTALS OR A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE ; APPARATUS THEREFOR,C30B13/30,"Single-crystal growth by zone-melting; Refining by zone-melting -Controlling or regulating-Stabilisation or shape controlling of the molten zone, e.g. by concentrators, by electromagnetic fields; Controlling the section of the crystal",C30,CRYSTAL GROWTH
B42F,SHEETS TEMPORARILY ATTACHED TOGETHER; FILING APPLIANCES; FILE CARDS; INDEXING ,B42F13/165,Filing appliances with means for engaging perforations or slots -with claws or rings -with flexible or resilient claws or rings ,B42,BOOKBINDING; ALBUMS; FILES; SPECIAL PRINTED MATTER
G02B,"OPTICAL ELEMENTS, SYSTEMS OR APPARATUS",G02B21/0032,"Microscopes-specially adapted for specific applications-Scanning microscopes -Confocal scanning microscopes (CSOMs) or confocal 'macroscopes'; Accessories which are not restricted to use with CSOMs, e.g. sample holders-Optical details of illumination, e.g. light-sources, pinholes, beam splitters, slits, fibers ",G02,OPTICS
B29C,"SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING ",B29C2045/328,"Injection moulding, i.e. forcing the required volume of moulding material through a nozzle into a closed mould; Apparatus therefor -Component parts, details or accessories; Auxiliary operations-Moulds-having several axially spaced mould cavities ; , i.e. for making several separated articles-having a movable mould plate between two fixed mould plates",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
G11B,INFORMATION STORAGE BASED ON RELATIVE MOVEMENT BETWEEN RECORD CARRIER AND TRANSDUCER ,G11B5/112,Recording by magnetisation or demagnetisation of a record carrier; Reproducing by magnetic means; Record carriers therefor -Structure or manufacture of housings or shields for heads-Shielding of head against electric or magnetic fields-Manufacture of shielding device,G11,INFORMATION STORAGE
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2224/30153,"Indexing scheme for arrangements for connecting or disconnecting semiconductor or solid-state bodies and methods related thereto as covered by H01L24/00-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Layer connectors, e.g. plate connectors, solder or adhesive layers; Manufacturing methods related thereto-Structure, shape, material or disposition of the layer connectors prior to the connecting process-of a plurality of layer connectors-Disposition-Layout-Mirror array, i.e. array having only a reflection symmetry, i.e. bilateral symmetry-with a staggered arrangement, e.g. depopulated array",H01,BASIC ELECTRIC ELEMENTS
H05K,PRINTED CIRCUITS; CASINGS OR CONSTRUCTIONAL DETAILS OF ELECTRIC APPARATUS; MANUFACTURE OF ASSEMBLAGES OF ELECTRICAL COMPONENTS,H05K2201/1025,"Indexing scheme relating to printed circuits covered by H05K1/00-Details of components or other objects attached to or integrated in a printed circuit board-Other objects, e.g. metallic pieces-Metallic discs ",H05,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR
C09B,"ORGANIC DYES OR CLOSELY-RELATED COMPOUNDS FOR PRODUCING DYES ; , e.g. PIGMENTS; MORDANTS; LAKES ",C09B29/084,"Monoazo dyes prepared by diazotising and coupling-from coupling components containing amino as the only directing group-Amino benzenes-characterised by the substituent on the benzene ring excepted the substituents: CH3, C2H5, O-alkyl, NHCO-alkyl, NHCOO-alkyl, NHCO- C6H5, NHCOO-C6H5-linked through -N= -specific -NSO2N,NSO2XR, -NSO2R",C09,DYES; PAINTS; POLISHES; NATURAL RESINS; ADHESIVES; COMPOSITIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR
A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES ",A61K39/001141,Medicinal preparations containing antigens or antibodies -Vertebrate antigens -Cancer antigens-Cytokines-Interferons [IFN],A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61L,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES ",A61L31/00,"Materials for other surgical articles ; , e.g. stents, stent-grafts, shunts, surgical drapes, guide wires, materials for adhesion prevention, occluding devices, surgical gloves, tissue fixation devices ",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
D03D,WOVEN FABRICS; METHODS OF WEAVING; LOOMS,D03D29/00,Hand looms,D03,WEAVING
F16C,SHAFTS; FLEXIBLE SHAFTS; ELEMENTS OR CRANKSHAFT MECHANISMS; ROTARY BODIES OTHER THAN GEARING ELEMENTS; BEARINGS,F16C32/0465,Bearings not otherwise provided for-using magnetic or electric supporting means-Magnetic bearings-Active magnetic bearings-Details of the magnetic circuit-of stationary parts of the magnetic circuit-with permanent magnets provided in the magnetic circuit of the electromagnets,F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
F01L,CYCLICALLY OPERATING VALVES FOR MACHINES OR ENGINES,F01L2800/01,Methods of operation using a variable valve timing mechanism-Starting,F01,MACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES
B29C,"SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING ",B29C45/332,"Injection moulding, i.e. forcing the required volume of moulding material through a nozzle into a closed mould; Apparatus therefor -Component parts, details or accessories; Auxiliary operations-Moulds-having transversely, e.g. radially, movable mould parts-Mountings or guides therefor; Drives therefor",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
F02F,"CYLINDERS, PISTONS OR CASINGS, FOR COMBUSTION ENGINES; ARRANGEMENTS OF SEALINGS IN COMBUSTION ENGINES",F02F1/36,Cylinders; Cylinder heads -Cylinder heads-having cooling means-for liquid cooling,F02,COMBUSTION ENGINES; HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS
A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES ",A61K2800/87,Properties of cosmetic compositions or active ingredients thereof or formulation aids used therein and process related aspects-Process related aspects concerning the preparation of the cosmetic composition or the storage or application thereof-Application Devices; Containers; Packaging,A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
H01B,"CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING OR DIELECTRIC PROPERTIES ",H01B13/2686,"Apparatus or processes specially adapted for manufacturing conductors or cables-Sheathing; Armouring; Screening; Applying other protective layers -by winding, braiding or longitudinal lapping-by longitudinal lapping-Pretreatment",H01,BASIC ELECTRIC ELEMENTS
F25J,"LIQUEFACTION, SOLIDIFICATION OR SEPARATION OF GASES OR GASEOUS ; OR LIQUEFIED GASEOUS;  MIXTURES BY PRESSURE AND COLD TREATMENT ; OR BY BRINGING THEM INTO THE SUPERCRITICAL STATE ",F25J1/0229,"Processes or apparatus for liquefying or solidifying gases or gaseous mixtures -requiring the use of refrigeration, e.g. of helium or hydrogen ; Details and kind of the refrigeration system used; Integration with other units or processes; Controlling aspects of the process-Coupling of the liquefaction unit to other units or processes, so-called integrated processes -Integration with a unit for using hydrocarbons, e.g. consuming hydrocarbons as feed stock",F25,REFRIGERATION OR COOLING; COMBINED HEATING AND REFRIGERATION SYSTEMS; HEAT PUMP SYSTEMS; MANUFACTURE OR STORAGE OF ICE; LIQUEFACTION SOLIDIFICATION OF GASES
B29C,"SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING ",B29C2045/4084,"Injection moulding, i.e. forcing the required volume of moulding material through a nozzle into a closed mould; Apparatus therefor -Component parts, details or accessories; Auxiliary operations-Removing or ejecting moulded articles-Progressive ejection",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
