paper,author,affiliation1
2118010688,2149592430,87673952
58535497,2078904196,71267560
2128376359,2440599660,52325
1985123736,2608863876,66946132
1966147816,2147676360,113306721
2801230580,2149367082,161311093
2067134759,290216101,2801038905
2644532165,2048046544,102322142
197244423,2154698365,921990950
1966297776,2130361032,63739035
2024579091,2718692953,5681781
1984776683,1433882079,170897317
2563689627,2164606711,40542001
2291136805,2146309368,95990688
1986807194,2517865101,103635307
2887128964,2885649732,52357470
1957765623,2272707995,181391015
1967349743,2133550457,146655781
2287334441,2022097030,74973139
2889021075,2043877841,135310074
1972835807,2655954005,183067930
1974017465,2147622225,166459259
2026139144,1913627890,1299303238
2043349995,2075672812,35364215
2912349686,2207135756,126307644
2149501280,2115855054,1285764155
2790954463,813978582,161106909
1966203242,2534186839,2799853436
2035934649,2087186921,2802862759
2163190071,2096773554,19820366
2041891426,2019210258,102272798
2027406676,2615690218,1333370159
2098876235,2684037274,66760702
1971365258,1958050896,85430060
2091334886,2249254629,56934997
2018700811,2556596897,170164250
2578703803,2152528328,159385669
1997530712,1914535661,154387261
2507427037,2141883682,100066346
2557645727,2183407212,139660479
2098204775,359193403,91045830
1997682257,2649740448,179060312
2225343623,2261437807,185507118
1977420199,2097307961,17974374
2043223954,2112258242,2802216851
2396000074,2400209580,1324252669
1977271779,1994407073,164915025
2084382842,2167873970,154099455
2158010058,2228055803,134820265
2496597702,2622063748,31683504
2093347194,2315754346,887968799
2123816532,1998031992,181369854
2304854369,2526255834,1341412227
2058619099,2684439871,191208505
2133059512,317085477,197072244
1990449676,2008559011,206949727
2283923208,2134173508,132157203
2130096142,2114991032,56007636
1981603123,2471133068,142740786
2732668154,2726390814,924572780
2397548424,2763185954,1309849503
10086585,2704543292,107720978
2047057926,2595516886,123387679
1990099538,2679582505,96323854
1970069004,2480084289,100005738
2895587557,2893064044,89652312
1985351983,1254247232,200777214
2013998723,2168215361,1296604144
2144559889,2185884876,2802742124
1510185407,2009569322,1341412227
2077832463,2046855361,204983213
2335780582,2524612872,194808414
2038575669,2080714110,142263535
2768143036,230772090,145311948
1965521113,2481272959,34077901
2554704419,2796525157,29607241
1980634078,2718714674,186143895
2884529268,2884683880,170230895
2125977991,2497115469,165733156
2151350768,1908393391,899635006
2345835913,2546343131,82724352
2020610479,2778789265,52357470
2043104539,2676665524,108290504
1995909271,2080133371,78757542
2004446597,2677999710,110757952
2040422092,2633660283,194450716
2919391481,2919765715,1313323035
2009160341,2115055206,200763008
89441102,2803303714,204824540
1984294963,422564679,130769515
2157678525,2105555475,63525965
2101864885,1993616764,2801403999
2413815925,2230140593,1292669757
2160864731,2096299967,1313298211
1916985991,2308407068,66946132
178545393,2088641744,99542240
1967343689,2236885401,141945490
2372004037,2371692579,150807315
2059267159,1882035835,17937529
2513681362,2232317551,170215575
1983405512,2707209371,51556381
1991568411,107414945,189158943
2082121750,2818942028,55302922
2382429979,2353359607,183006215
