entity_id,class,foaf_name,rank,level,paperFamilyCount,citationCount,paperCount
2909068003,FieldOfStudy,Stage IVB Hodgkin's Disease,21433,3,1,4,1
2911099580,FieldOfStudy,Edmundoa lindenii,22082,3,1,0,1
2911197996,FieldOfStudy,Closed Dislocation,16775,3,89,773,90
2780934452,FieldOfStudy,Micromixing,13090,3,1739,36895,1747
2910380146,FieldOfStudy,Scar tissues,15998,2,271,1294,272
2908778164,FieldOfStudy,Pachycordylidae,20185,3,1,47,1
2992759796,FieldOfStudy,Central intelligence agency,14850,3,871,2804,871
2909093114,FieldOfStudy,Fuji IX GP Fast,18601,4,13,99,13
2909254912,FieldOfStudy,Apocheima pilosaria,20708,3,2,16,2
2909058058,FieldOfStudy,Cytochrome P450 Family,17590,5,67,255,67
2909785763,FieldOfStudy,Infection klebsiella,20983,3,2,8,2
2780714037,FieldOfStudy,Stock market index future,20815,2,2,12,2
2909625999,FieldOfStudy,Spiraea flexuosa,22082,3,1,0,1
3018922982,FieldOfStudy,Trigger tool,15556,4,292,3163,294
2779211076,FieldOfStudy,Clarkia mosquinii,21344,3,2,1,2
2988952231,FieldOfStudy,Round trip propagation delay,17972,3,21,188,21
2909142834,FieldOfStudy,Sechium chinantlense,21366,3,2,4,2
2910321766,FieldOfStudy,11-methoxyhumantenmine,21134,3,2,4,2
2778121316,FieldOfStudy,SLIT3,15156,5,112,7740,112
2908601475,FieldOfStudy,Carboxyformin,22082,3,1,0,1
2910524897,FieldOfStudy,Cells leydig,20755,2,3,3,3
2910386657,FieldOfStudy,Induced Heart Arrest,19072,3,19,11,19
2982948194,FieldOfStudy,Game based learning,13542,2,3277,13686,3284
2776731177,FieldOfStudy,Puccinia pelargonii-zonalis,18425,4,29,86,29
2777847333,FieldOfStudy,Aporomyces,20483,3,3,12,3
2911094707,FieldOfStudy,Serratia marcescens marcescens,22082,3,1,0,1
2984930231,FieldOfStudy,Circuit architecture,14379,3,738,6654,744
2993345594,FieldOfStudy,Holmium laser,13791,5,2504,9089,2509
2909035630,FieldOfStudy,Clostridium amygdalinum,21436,4,1,10,1
2908785827,FieldOfStudy,Hypsirhina polylepis,21850,3,1,3,1
57634137,FieldOfStudy,Translational science,13790,3,1837,19289,1842
2911109503,FieldOfStudy,Sphingolipid mediated signal transduction,22082,3,1,53,1
2909838739,FieldOfStudy,Ghost shark,16906,3,18,1018,19
2779663085,FieldOfStudy,Pygmephoridae,17110,3,107,221,107
2909644236,FieldOfStudy,Schistostephium crataegifolium,21162,3,2,4,2
2910254362,FieldOfStudy,Diagnostic scanning,16745,2,67,671,67
2910911246,FieldOfStudy,Hypoplastic posterior communicating artery,19066,5,11,71,11
2910026283,FieldOfStudy,Harrimanella stelleriana,22082,3,1,0,1
3018944449,FieldOfStudy,P16 ink4a,15488,4,419,2990,420
2909133607,FieldOfStudy,Tussilagone,18761,5,22,47,22
2910423361,FieldOfStudy,Strobilinin,19813,2,2,35,4
2911131765,FieldOfStudy,Leptomithrax,19557,5,6,62,6
2909096217,FieldOfStudy,Genus Torula,18938,3,7,104,7
2908559845,FieldOfStudy,Electromyography Feedback,18862,4,20,51,20
2910051502,FieldOfStudy,Coltricia verrucata,20684,3,1,23,1
2909493559,FieldOfStudy,Ankle arthrodesis,14511,4,750,8755,755
2908966416,FieldOfStudy,Euthraulus,20411,5,4,18,4
2909893473,FieldOfStudy,Protoblastenia lilacina,21252,3,2,3,2
2909805454,FieldOfStudy,Biphasic Positive Airway Pressure,15635,4,195,3250,195
2908689499,FieldOfStudy,NOLOMIROLE,20443,4,5,1,5
2779430513,FieldOfStudy,Stathmonotus stahli,21190,3,2,5,2
2910222585,FieldOfStudy,Parametorchis,20247,2,4,16,4
2911189903,FieldOfStudy,Methylophaga thiooxydans,20886,2,2,15,2
2780497069,FieldOfStudy,Dependability benchmarking,17132,4,51,416,51
2779621418,FieldOfStudy,Solegnathus,21317,2,2,2,2
3018987247,FieldOfStudy,Fdg pet ct,12541,2,9201,47344,9212
2910142840,FieldOfStudy,Eothinia elongata,20973,3,2,13,2
2780577689,FieldOfStudy,Dihydrofolate reductase inhibitor,15615,5,200,3437,202
2908731469,FieldOfStudy,Vesico ureteral,15097,5,859,1475,863
2909674742,FieldOfStudy,Cryptanthus beuckeri,20998,3,1,10,1
2910554068,FieldOfStudy,Rinderpest virus Antibody,21032,3,2,4,2
2778057269,FieldOfStudy,Erythroplatys,21289,3,2,1,2
2909320292,FieldOfStudy,Cryptandra myriantha,22082,3,1,0,1
2908611610,FieldOfStudy,Tongue fissure,19986,3,6,17,6
2910016130,FieldOfStudy,Pleurotus sapidus,17569,4,66,188,68
2908659511,FieldOfStudy,Rutilus kutum,17603,2,86,29,86
2778112115,FieldOfStudy,Perillaldehyde,14523,3,329,10651,331
2909916130,FieldOfStudy,Conium maculatum poisoning,21370,3,1,9,1
2910424300,FieldOfStudy,Salicylaldehyde phenylhydrazone,19072,2,5,133,5
2910591303,FieldOfStudy,Clarkia delicata,21202,3,1,6,1
3019712171,FieldOfStudy,Robotic assisted laparoscopic prostatectomy,16372,5,164,921,164
2910719436,FieldOfStudy,Tinospora glabra,21361,3,2,1,2
2992801545,FieldOfStudy,Ab inito,16249,4,168,1343,169
2779084582,FieldOfStudy,Reality television,13845,2,1847,11677,1852
134516590,FieldOfStudy,Set packing,13393,2,1020,20694,1047
2909648929,FieldOfStudy,Ixorapeptide I,21389,3,2,0,2
2911110050,FieldOfStudy,Environmental swab,17899,5,24,333,24
2910482910,FieldOfStudy,Macedonian pig,20673,3,3,1,4
2910356099,FieldOfStudy,Graeffea crouanii,20655,3,3,5,3
2777689879,FieldOfStudy,Mofezolac,17306,4,61,520,61
2910157067,FieldOfStudy,Nothobranchius hengstleri,21413,3,1,5,1
2910792691,FieldOfStudy,Hypleurochilus bermudensis,22082,3,1,0,1
2909313581,FieldOfStudy,Poicephalus rufiventris,19675,2,8,32,8
2910509597,FieldOfStudy,Sphingomonas jejuensis,20388,3,3,26,3
2909415791,FieldOfStudy,Polynemus paradiseus,19481,3,9,40,9
2909120934,FieldOfStudy,Microbacterium azadirachtae,19788,2,4,68,4
4646841,FieldOfStudy,Mediterranean climate,9930,2,68440,987667,68589
2909539496,FieldOfStudy,Abdomen excision,21389,3,2,0,2
2908941558,FieldOfStudy,Colonic atony,19488,3,5,45,5
2910161893,FieldOfStudy,Tribe Stomoxyini,21155,3,2,5,2
2910320199,FieldOfStudy,NAIL OPACITY,21389,3,2,0,2
3018362788,FieldOfStudy,Geographical inequalities,16538,3,131,855,132
2908649044,FieldOfStudy,Acesta bullisi,21676,3,1,6,1
3018574693,FieldOfStudy,Intracuff pressure,15999,5,157,1715,158
2909220616,FieldOfStudy,Adiantum reniforme,17983,3,35,312,35
2911222856,FieldOfStudy,Renal agents,16959,4,49,787,49
2988349326,FieldOfStudy,Moderate resolution imaging spectrometer,16242,3,113,1334,113
2777588657,FieldOfStudy,Tanacetum microphyllum,18990,4,8,71,8
2778860068,FieldOfStudy,Strelitzia juncea,19880,3,6,27,6
2910137971,FieldOfStudy,Pd-coproporphyrin,22082,3,1,0,1
2910292412,FieldOfStudy,M-AAA proteases,21389,4,2,0,2
2779559825,FieldOfStudy,Troparil,22015,2,1,1,1
14021631,FieldOfStudy,Photographic developer,13919,4,977,5840,977
2909318728,FieldOfStudy,Alectoris rufa hispanica,20157,3,1,51,1
2910850860,FieldOfStudy,Dasyprocta aguti,17602,2,61,292,62
2911109450,FieldOfStudy,Dose midazolam,19424,3,13,12,13
2910271277,FieldOfStudy,Teratocephalus,19587,5,6,21,6
2910410108,FieldOfStudy,Family Parulidae,18252,5,16,253,16
2909529766,FieldOfStudy,Black-winged kite,19570,5,10,23,10
2909968587,FieldOfStudy,Normokalaemic periodic paralysis,20326,2,4,20,4
2909400048,FieldOfStudy,Phenylmethylsulfonyl Fluoride,14077,4,835,16147,836
2908736600,FieldOfStudy,Regio inguinalis,19182,2,17,13,17
2909455388,FieldOfStudy,BIP protocol,19364,4,9,35,9
2908602131,FieldOfStudy,Left iliocostalis,20499,3,3,10,3
2910348294,FieldOfStudy,Chrysosporium pseudomerdarium,20590,2,3,15,3
2911208992,FieldOfStudy,Chronic papular onchodermatitis,21834,5,1,4,1
2775976807,FieldOfStudy,Aminoglutethimide,13476,5,1473,29730,1482
2910951530,FieldOfStudy,Jervell lange nielson syndrome,21231,3,2,4,2
2910048763,FieldOfStudy,Loxosceles boneti,19533,3,3,64,3
193681711,FieldOfStudy,Direct tax,11386,3,22760,113597,22854
2909111599,FieldOfStudy,Idiopathic hypercalcemia,16695,4,109,646,112
2909171526,FieldOfStudy,Sigmoid polyp,18975,5,12,41,12
2909194653,FieldOfStudy,Scirrhous Breast Carcinoma,18885,2,11,82,11
2778804209,FieldOfStudy,Insect collecting,15764,3,434,603,434
2776055232,FieldOfStudy,Open Packaging Conventions,20901,2,2,10,2
2910257042,FieldOfStudy,Sulcus suprapalpebralis,21580,3,1,4,1
2908636003,FieldOfStudy,Colostomy stenosis,20590,2,4,5,4
2910524804,FieldOfStudy,Yeast opsonization defect,20800,3,2,16,2
2910555202,FieldOfStudy,Tetrapentylammonium bromide,19683,4,7,31,7
2909777836,FieldOfStudy,Blood ammonia measurement,20225,3,4,17,4
2776069202,FieldOfStudy,Isotopes of scandium,19836,2,2,43,2
2992937881,FieldOfStudy,Biomass gasification,13312,3,2963,19141,2969
2909999736,FieldOfStudy,Spermatic Artery,15705,4,159,2891,159
2908978007,FieldOfStudy,Sinus caroticus,17150,3,75,454,75
2992672855,FieldOfStudy,Phase density,16159,2,199,1083,200
2909591137,FieldOfStudy,7-deoxyloganin,19608,2,2,86,2
2777209026,FieldOfStudy,Inflammasome,11585,4,11295,336808,11320
2911149889,FieldOfStudy,Hedychium stenopetalum,20677,3,3,13,3
2910015113,FieldOfStudy,Flectobacillus,20255,4,4,17,4
2910712326,FieldOfStudy,Dodecylamine hydrochloride,17947,3,25,188,25
2993185775,FieldOfStudy,Surface grating,16253,3,189,510,189
2910622638,FieldOfStudy,Ruthenium dioxide,15419,4,246,2570,251
2910326337,FieldOfStudy,Nocardia uniformis,18828,5,9,56,9
2910927919,FieldOfStudy,Gleditsia sinensis fruit extract,22082,5,1,0,1
2908963953,FieldOfStudy,Geophis latifrontalis,20889,3,3,2,3
24389824,FieldOfStudy,myr,12574,2,2320,83192,2339
2910326605,FieldOfStudy,Sutured laceration,21203,2,2,3,2
2992240017,FieldOfStudy,Birch wood,15331,3,402,2609,402
2909428832,FieldOfStudy,ENA-VASP proteins,17702,5,17,413,17
2909553220,FieldOfStudy,Jojoba Extract,19339,3,14,14,14
2910747175,FieldOfStudy,Finnish Landrace goat,21228,3,1,10,1
2776566068,FieldOfStudy,Stratified cuboidal epithelium,17814,5,38,250,38
2909500015,FieldOfStudy,Unsuccessful prosthesis,20509,3,2,14,2
2909898783,FieldOfStudy,Variant bronchial artery,20962,3,2,6,2
2910451532,FieldOfStudy,Monodonta lineata,17968,4,21,280,21
153991713,FieldOfStudy,Niche,10869,2,19123,501675,19213
2910338282,FieldOfStudy,Leiomyomatosis peritonealis disseminata,15991,4,179,1644,179
2909316940,FieldOfStudy,Euphyllura,18086,5,44,64,44
156490143,FieldOfStudy,Dipeptidyl peptidase-4,12793,4,3310,69604,3321
2910516723,FieldOfStudy,Gemfibrozil measurement,22082,3,1,0,1
2911034731,FieldOfStudy,Making considered choices,20692,3,2,14,2
2778528314,FieldOfStudy,Methods-time measurement,16861,2,77,468,77
2911066586,FieldOfStudy,Tracheostomy tube cuff,17272,3,31,460,31
2779927648,FieldOfStudy,Old Norse morphology,21980,2,1,1,1
2779935346,FieldOfStudy,Pseudopyrenula,19384,3,6,67,6
2909082303,FieldOfStudy,Compression Aid,17989,4,19,244,19
2909844805,FieldOfStudy,Phaseolus salicifolius,21905,3,1,1,1
2911115360,FieldOfStudy,Peltis grossa,20274,5,6,1,6
33400823,FieldOfStudy,Market depth,11517,3,9220,155643,9282
2781113152,FieldOfStudy,Vireolanius,18726,2,4,178,4
2909856808,FieldOfStudy,Cyclic RGDFK,19978,5,6,15,7
2908837881,FieldOfStudy,N-(2-chloro-4-pyridyl)-N-phenylurea,18816,4,16,73,16
520413478,FieldOfStudy,Laser medicine,14714,3,659,4906,660
2909428007,FieldOfStudy,Necroptosis signaling,19322,5,11,82,11
2911204977,FieldOfStudy,Amorphochlora,21619,3,1,12,1
2910283188,FieldOfStudy,Female stress incontinence,15180,5,253,4211,259
2994139714,FieldOfStudy,Gps network,14577,3,977,4985,980
2910019902,FieldOfStudy,Eremolaena rotundifolia,21752,3,1,4,1
2909650487,FieldOfStudy,Pedicularis torta,21245,3,2,3,2
2910370831,FieldOfStudy,Teucrium lamiifolium,19842,2,5,33,5
2909841243,FieldOfStudy,Hypopygiopsis fumipennis,21934,3,1,2,1
3019241864,FieldOfStudy,Bac clone,17223,5,81,443,81
2910404418,FieldOfStudy,Vibrio cholerae Serogroup O1,18622,5,14,119,14
2910788783,FieldOfStudy,Major alar cartilage,22082,3,1,0,1
2909412636,FieldOfStudy,Stenanthemum,20073,4,5,15,5
2910239434,FieldOfStudy,High nasal bridge,21343,5,2,1,2
2911179912,FieldOfStudy,Vena comitans,17438,4,47,431,47
2911081869,FieldOfStudy,Adrenal Gland Adenoma,19329,4,15,7,15
2908929082,FieldOfStudy,Scytophycin B,20021,3,3,33,3
2910410171,FieldOfStudy,Accidental Drug Ingestion,19582,5,11,8,11
2909284149,FieldOfStudy,Vertebral arch,14909,3,973,2027,973
2780052720,FieldOfStudy,Florissantia,19782,2,2,56,2
2909952392,FieldOfStudy,Approach avoidance behaviour,18908,2,13,150,13
2910965800,FieldOfStudy,Injury kidney,21389,5,2,0,2
2908672336,FieldOfStudy,4-methylmorpholine,19150,2,12,38,12
2779425273,FieldOfStudy,Grazing incidence diffraction,14861,4,401,5884,401
2908534551,FieldOfStudy,Freycinetia baueriana,20065,2,4,27,4
24972589,FieldOfStudy,adipocyte protein 2,13092,4,1334,59269,1334
2910544951,FieldOfStudy,Fluoxetine norfluoxetine,19862,5,3,46,3
2993270508,FieldOfStudy,General biology,13667,2,1811,17685,1813
2909911711,FieldOfStudy,Guttural pouch mycosis,17000,4,71,793,71
2911130447,FieldOfStudy,Garcinia indica fruit extract,20590,2,4,6,4
2779895442,FieldOfStudy,Bartholin's gland,15794,5,286,1865,288
