entity_id,hasParent
2989251126,2779089604
2776042070,2775833706
2781159320,2776675538
2992580562,148834064
2910991007,107130276
2909265319,2776235491
2909725758,2777633396
2779416711,29730261
2911156254,105702510
2776214988,79484868
2910917720,2909317438
2778280462,2776256026
96439379,133731056
2776499711,137127113
91246764,83546350
2910064619,2776342045
2908798431,29311851
2908573743,2909669314
2778709827,24586158
2910259824,2780470511
2910486284,59822182
2910418878,501734568
2776943033,199539241
3018601612,2779866876
3019925426,118552586
2909861454,538909803
2910343409,2780313869
2778845065,2777636572
2776745646,105702510
2910947996,18903297
2909279954,73484699
2777576875,2780263222
2911112265,2781065037
2909791378,2781264208
2908763573,156719811
2994284988,127569584
2909097854,151107837
2993079355,46141821
2909793489,2776820930
2909309034,26760741
95217918,6557445
149528890,29951281
2777776026,509550671
2911134361,113217602
2992274092,70477161
3018295343,556039675
2778504605,13965031
2909477132,112698675
2778677087,105580179
2909019192,2777379243
2909175344,89423630
2776832427,2776920260
2778518204,2776451064
2910731938,2776541429
2911067970,2777714996
2777254445,82706917
128099668,42383842
2910354765,62231903
2778541403,2777872925
2909634274,2780676250
2908782053,141071460
2778724333,142724271
3017628709,2776366596
2908599509,2780325035
2779371878,2781025020
2908520846,167227067
2910911229,1862650
2909908930,2777546739
122409099,4988496
89008666,175444787
2993382313,8010536
2908924539,2908817537
3017858705,126322002
2909614975,189040839
2909029848,190114821
2910970952,2779726688
2777913958,90856448
2910997311,2776235491
2910355342,554144382
2992948851,121040770
173628569,133776654
2909319779,2816523
106663253,11413529
2993757114,111771559
2910508086,197115733
2780361049,51679486
2908849932,2776309666
2991782630,118518473
2908863725,2910567270
2779906938,2780892065
2911102871,166504685
2908725245,146556889
2778168279,2777057264
2779452734,15708023
123326733,123657996
2909976104,2910914704
2984328713,147120987
2992986644,112698675
2779226451,143409427
2910673935,2777617192
2908874461,153911025
93953391,58640448
2777208201,2779338263
2908572890,2779134260
2909916703,2778849931
97395012,101044782
2779095429,119701452
2780574385,54355233
2779925857,2779019418
2780440489,11413529
2778526080,2780365088
2776549220,97937538
2910050907,2778134817
2777027769,21547014
2909910772,2778764654
84355842,73283319
70034043,173576120
2910579093,544153396
2777663059,2776461903
2908733846,105702510
2992337830,204321447
2910218146,2777658017
2776249326,187155963
2781056057,2778745432
2909967619,2778213512
2909057812,166735990
2911222683,2778084189
2910611070,2777251235
2776312033,2779897013
2910280688,178790620
2777540489,169900460
2777249895,2778712684
2992084340,47177190
2910020464,77805123
2780114796,2780688631
2911126351,18903297
2910398999,2779066055
106227882,39366733
2994175877,137403100
85175973,134470054
2777323849,2776098176
2911197680,2780074459
2992608659,518460624
77758465,180577832
3019167155,126322002
2778244501,2778019345
2908724950,2777312162
2909371751,44937612
2908873401,90856448
174468945,74916050
2910415909,59822182
2908705326,549387045
2911200720,131253125
2908799048,105702510
2909018987,141071460
2781187514,2776053758
2776561882,197375991
2909130131,2781037878
3019617958,555293320
2780740339,2780026642
131330614,170692843
170073757,34800285
2908915988,141071460
2991913566,2779832538
2987356131,31258907
2909905551,2778996910
2911165473,171606756
2910630984,107993555
2910054276,2780090379
2909045145,2522874641
2777456258,554144382
2910034509,2776870079
2776121235,105639569
3020393930,141071460
2908723919,90856448
2908994965,2780902042
2992458569,548259974
2909675833,2984752397
2777091648,44663343
2985420203,124101348
2909299749,555293320
2909143125,5140985
2778955358,2781054738
3019275242,171146098
2776043002,129312508
56952853,167227067
2777069180,187736073
2910240022,2777616031
78161392,54239708
2909054297,500558357
167017271,195094911
3019341970,154945302
2910589050,2778570526
90642696,512716672
117485682,2816523
2778029792,66938386
2992369128,77805123
2779754099,166957645
2909918935,2776304672
2776407322,2778561560
2778253326,76155785
2776462489,2777099832
2781399071,105795698
2909041541,555293320
2780589187,2780948078
2780156709,2778105408
2780519041,2777713698
2778395439,2994092193
2908932541,2777546739
2911080029,2779226451
93315404,2779134260
2910717612,2776725428
2992746623,183115368
2908543855,112698675
2910936135,2780269544
79840881,169760540
2776050040,544153396
2779950136,59822182
2910315798,2778256501
2987942958,120912362
2781341437,190283241
2910086916,2779341262
2992565509,2780593183
2983137881,23123220
2987906554,172385210
2909121688,2778640784
150122244,2987912017
176671788,92746544
2910287493,199343813
2910121557,2779526774
2781379553,151730666
2777100407,2780040827
56348326,80444323
2910968593,136020623
2780026070,2778350275
26324664,31258907
2909265798,59822182
2780174462,54355233
2994459843,544956773
2994091863,199539241
2910166211,59822182
152732102,189285262
2909324320,178790620
2910162000,59822182
2909836397,2776237595
2909927531,105702510
158456648,58053490
2992118279,2778371730
2777870890,144814538
2910971036,59822182
2777452564,19165224
2993140769,117958382
2775982152,18903297
2780226828,60048249
2778657085,134306372
2994290368,74650414
3020272482,2908854999
2909971474,2777740455
2908884569,31573885
2910327701,2993524501
2982823382,2778413303
2985742463,44154836
542929976,558565934
2984236741,50335755
2779593279,504270822
2911197592,84393581
2910658860,141071460
2778754525,126415523
2910262361,109110057
2909506995,2781090017
2993750975,165682214
175859090,119857082
2909582663,2780138493
2780947148,125502
2777435560,59822182
2910182970,509974204
2910232631,138496976
2911199188,2778923344
2993944168,162853370
2993981422,24890656
