entity_id,isRelatedto
91403448,27359860
2764892055,2898327786
2764784476,4029648
179611791,2624549483
158351634,82148420
2801665144,298625061
11857717,170733628
83014014,183492911
68189171,2756459776
2736861493,2764856835
132049688,134899435
2765062947,180723199
998559278,41534456
2739049016,2756012098
2764846057,2764728767
1017472883,2755742721
93935891,2756736737
20439492,2759309592
102926519,2898201433
79386155,2760626229
158221174,31582689
2754403848,2756130868
2764496587,2764582959
80823180,2755546526
1133523790,53932126
103239605,32191110
2764672974,2764598394
2737026052,187169112
2764881277,2734750431
60345495,1199137064
100750902,181618396
139222816,19820366
2756440857,2898427112
2736754931,2809516038
2764678238,2755090205
887064364,19820366
2764687352,2755464765
2764446967,2764449618
122300111,24284137
110937496,54078964
90003657,2736916495
2765075443,52903408
2765040423,102129664
47631775,149899117
1044502747,2898488209
70019058,2764996982
2800295370,200418177
2736713552,2758207428
2764552851,2764752220
2764883250,2764630489
181493553,1135342153
961877104,939443152
2765008069,2764889508
1141913819,1138732554
76039381,79745274
1334095494,1337241293
2493627025,1136042413
30990483,170222435
98565333,182544699
1374498,2755928763
1159793393,2754383286
2898393227,2627017190
185926442,165397776
40727808,2756061141
2738120176,2737095833
52994839,2764927827
143725931,2755418067
146447972,1189274801
2739443996,2764540346
2738545682,2757819088
37896628,1138890651
68090309,26402878
2765011904,1017704
45434965,2764956485
143840716,161759566
168634447,2764765116
183937543,149452110
920941,2764467928
2764807064,2764814303
129671167,71995303
2764425782,2623661694
2755464364,2764969007
166763293,2754095203
76119027,196442339
243586174,55926968
68443283,2738717791
1127098075,164062316
2764684994,2755821432
59093860,2624080447
2764758132,2755576832
115455960,197251160
2737985625,2757657594
8441994,125724548
196652580,106099507
96460681,2754124166
38863834,1151209843
98607628,2801151526
149744451,149910238
2764841047,2737945855
13330807,1142762373
2764921114,2898372219
2764768690,2898373119
85012985,1177622950
2764935926,2764986774
132157868,136172766
2491932416,2754680136
19085469,2764942333
183158303,1294671590
1170602061,114379355
2754712647,1154297412
46840092,2898178715
36592170,161712404
149872823,2735101957
1326965316,110079840
2801109035,2802474107
108747524,2898117985
173695690,187113914
103321696,1254427
1288435858,205783295
2739236730,2626862238
2764436085,2764840949
41786310,2764902452
2801754460,149094680
36642063,97600184
13973740,2754161470
188481820,2754669714
123777873,2757393173
2737697384,2624722114
129923748,1146606187
126635229,85240283
2764403712,2765024836
127567987,63654972
881134741,1339579626
24470789,2764680386
11075000,1182309694
2756093218,156858864
182644184,86455573
2764677956,2499417885
103348311,2764539643
2737490588,68632876
2483669344,1176128511
2764599668,2755239779
214429113,145311948
18692668,2800157045
2764402931,2764832429
63785217,2754057091
2764526597,138569045
2738205336,2764611993
2764844976,17643076
130298280,2734430690
67862205,1194858622
205194082,2754901039
140948352,2757992015
207852960,1307241458
2764365032,2764885112
2802952866,178851606
2622964579,86179604
2764552366,1176326080
187318915,1141336450
75434068,2626098776
2754329633,122598620
2764683944,2764763066
2802122683,27837315
24649978,2755063974
2764419787,2739019929
2764876902,98185054
2764671384,2736051969
2764537291,2764628090
2764914272,2765070129
84158422,2764890839
96726197,2764545603
58003236,98952145
170027363,31122987
80693520,157725225
2801592539,1300065529
2764944887,2764909851
111801275,168349339
2755564649,2764547844
193514341,1164955157
2764963587,124004514
2764753713,13284206
2799544919,1329467635
100493983,1201491352
2755159003,2764790978
76161538,158759456
91767247,78571599
44859635,175109673
2764685691,2764541676
1315708478,223532165
130917594,1188965700
124294946,2738758758
80043,2801843802
2736369396,2736827263
2765044048,2898196244
32261165,1170044729
2764939136,2764587074
47403697,66238984
2764978224,2756080828
2764984479,2898320911
1143279144,92163612
2764369515,2764784520
2739371774,2898580326
2898357625,2738841929
193210337,1149327232
86831216,187476118
1195960517,1168747060
92374485,2765070564
1298853749,2802335433
2764460200,133112385
2799873577,2801233168
2764356019,2754124166
177391875,1282869487
2764814485,186935893
149884354,2898119558
2738972098,2898237367
30841389,34139249
2764657178,2755825865
2764557046,150996103
1319410264,95457486
92664306,1299022934
2737188191,2625725954
47629616,167828324
2800468613,1310298795
155689059,51939333
2800656703,2802827535
165152232,2765013855
22989841,9156452
121760486,18122089
2764881527,2898390019
184336213,55110324
331060,43043541
7538555,2755796420
2764454127,196821226
2764752085,2754669714
2764881188,2764531373
2764393730,2764354327
2799922679,66946132
2764410179,2754221590
2754925037,2757900028
2737530706,2758216076
159844132,2754941794
115511387,2764749054
2737589036,2736644930
120013848,121997567
121963300,43640090
2764684943,51425651
2764544779,2898510165
3039631,2764610920
25010850,1195960517
147873700,2799883749
177753169,80335173
39823226,115964404
2501230301,2756259428
136999626,10615428
62817094,2764775421
2802046154,81009624
125775545,2764800949
164703325,2737028251
161978192,67370578
116575360,94908168
2764946439,2754792104
89818526,1140550830
2764527509,2755434998
2764525383,2764589609
2764396884,2764479430
81830304,164566984
16319596,27837315
1329267311,185616230
113543207,1188965700
201193091,53559539
153441781,2898111911
116419501,79080234
80110507,1162315616
115232736,2539178803
23688054,2597137192
2737188191,8523651
2802682648,2799802224
2232857946,3164724
188437732,164956901
2764943078,2754195330
82334308,134096877
69082098,114231005
50354072,2757092708
65744445,2754971765
182948766,1199981023
168195842,2754868432
2764667268,2538156572
83511262,2754880234
2898375836,2759506917
143563916,2759892115
98803777,13621637
2764668752,2764904655
2764786711,2764425450
88220793,2764906630
1981725,2801870424
2764861672,2755924777
183158886,1122073392
128164449,1330342723
59738393,166595947
2754930161,125754415
903241416,102322142
10075937,2757487807
2764398155,2898391010
2764416785,2764491618
2764898474,2764939892
102309489,1125048215
1286805341,2799591230
97964121,134649062
108723051,2764714932
1204638610,2898122509
2760802481,133520368
