entity_id,fos_list
2908884176,Physics:1.0
2777534754,Biology:0.75_Geology:0.25
2909779898,Biology:0.75_Chemistry:0.25
187558996,Medicine:0.5_Biology:0.5
2908946451,Medicine:0.33_Computer science:0.33_Engineering:0.33
2909197147,Biology:0.73_Chemistry:0.23_Medicine:0.04
2911100436,Medicine:0.5_Biology:0.5
2908629463,Medicine:0.5_Biology:0.5
2911142725,Medicine:1.0
2910091572,Biology:0.52_Chemistry:0.42_Medicine:0.06
2909752376,Medicine:0.5_Biology:0.5
2779313290,Medicine:0.5_Biology:0.5
2909109481,-:0.0
2910786860,Biology:0.5_Chemistry:0.5
2909095511,-:0.0
2909828892,-:0.0
2780914681,Chemistry:0.59_Engineering:0.12_Materials science:0.12_Geology:0.06_Biology:0.06_Physics:0.06
2780622356,Medicine:0.5_Biology:0.5
2908968312,-:0.0
2908935035,Medicine:0.5_Biology:0.5
2909943582,-:0.0
2910407147,Medicine:0.5_Biology:0.5
2908783846,Biology:1.0
2911173414,Chemistry:0.5_Physics:0.17_Art:0.17_Biology:0.17
2910204188,-:0.0
91855553,Art:0.33_Computer science:0.33_Political science:0.33
2908569860,Chemistry:1.0
2909024586,-:0.0
2909223189,Medicine:0.5_Biology:0.5
2910963714,Medicine:0.5_Biology:0.5
2987209256,Mathematics:0.64_Computer science:0.27_Engineering:0.09
2908812827,Biology:1.0
2910531851,-:0.0
2908894453,Biology:1.0
2910964385,Medicine:0.5_Biology:0.5
3020049048,Medicine:0.5_Biology:0.5
2992225127,Medicine:1.0
2781053317,Computer science:1.0
2910225659,Medicine:0.5_Biology:0.5
2910068704,-:0.0
2908676602,Medicine:0.86_Biology:0.14
2909944246,Biology:1.0
2911064266,Physics:0.36_Materials science:0.29_Chemistry:0.14_Engineering:0.14_Political science:0.07
2908986925,Biology:0.59_Medicine:0.36_Chemistry:0.05
2779361543,Economics:0.75_Business:0.25
2910314999,Computer science:0.33_Medicine:0.33_Physics:0.33
2911155426,-:0.0
3019324219,Medicine:0.5_Biology:0.5
2909893059,Biology:0.75_Chemistry:0.25
2910033841,-:0.0
2909005284,-:0.0
2778167297,Biology:0.75_Chemistry:0.25
2777693668,Computer science:0.75_Mathematics:0.25
2778195964,Biology:0.67_Geology:0.33
133755612,Engineering:1.0
2911153501,Biology:1.0
2909622510,Biology:0.62_Medicine:0.25_Chemistry:0.12
2910734751,-:0.0
2910457013,-:0.0
2911225004,Medicine:0.5_Biology:0.5
2909106215,-:0.0
2909991934,Biology:0.6_Chemistry:0.2_Medicine:0.2
2908882335,-:0.0
2777834820,Biology:1.0
2909195281,-:0.0
6387636,Computer science:0.6_Engineering:0.4
2911141396,-:0.0
2909510401,-:0.0
2908574356,-:0.0
2779525300,Chemistry:1.0
2992692240,Psychology:1.0
3020533443,-:0.0
2910669729,Biology:0.5_Chemistry:0.25_Medicine:0.25
2778940446,Biology:0.5_Economics:0.25_Medicine:0.25
2908562051,-:0.0
2910220514,Biology:1.0
2908906332,Computer science:0.43_Engineering:0.29_Physics:0.14_Political science:0.14
2910233292,Medicine:0.5_Biology:0.5
169851745,Computer science:1.0
3018498045,Biology:0.5_Chemistry:0.5
2779724442,Biology:0.75_Chemistry:0.25
2993508324,Medicine:0.5_Biology:0.5
2910540130,Biology:1.0
2775964013,Biology:0.75_Chemistry:0.25
2908849877,Biology:1.0
2778365974,Geology:0.67_Biology:0.33
2909959699,-:0.0
2780957641,Sociology:0.5_Philosophy:0.5
2993665000,Physics:0.43_Materials science:0.29_Engineering:0.14_Geography:0.14
2910890031,Medicine:0.5_Biology:0.5
3020333154,Medicine:0.5_Biology:0.5
2908738575,-:0.0
2909439682,-:0.0
31820054,Medicine:0.5_Biology:0.5
2909360779,Biology:0.5_Chemistry:0.33_Medicine:0.17
2909760109,Medicine:0.5_Biology:0.5
2778474981,Medicine:0.5_Biology:0.5
2986363665,Computer science:1.0
2780325624,Biology:0.69_Chemistry:0.19_Medicine:0.12
2910118808,-:0.0
2910627903,-:0.0
2909291202,Biology:1.0
2911111274,Biology:0.33_Materials science:0.33_Chemistry:0.33
2908658702,-:0.0
2778030860,Psychology:0.5_Biology:0.5
2777685760,Geology:0.67_Biology:0.33
2908951082,Biology:0.69_Chemistry:0.19_Medicine:0.12
2910841559,Biology:0.6_Computer science:0.4
2909139581,-:0.0
2910231915,-:0.0
2909987843,Biology:1.0
2781159826,Physics:0.24_Geology:0.18_Geography:0.18_Engineering:0.18_Mathematics:0.06_Philosophy:0.06_Art:0.06_Biology:0.06
2777760223,Biology:0.59_Medicine:0.33_Chemistry:0.07
2909916112,Medicine:0.67_Biology:0.33
2910009792,Chemistry:1.0
2909132284,Biology:0.64_Medicine:0.27_Chemistry:0.09
2909508630,Medicine:0.5_Biology:0.5
2776863826,Biology:0.78_Geography:0.22
2909510259,-:0.0
3018498327,-:0.0
2777078830,Computer science:1.0
2776003124,Physics:0.33_Mathematics:0.33_Chemistry:0.17_Materials science:0.17
2779096173,Psychology:0.33_Medicine:0.33_Chemistry:0.33
