entity_id,patent_id,mag_name,patent_name
2689938432.0,8493260,Yuan-Kai Chu,Yuan-Kai Chu
2695690882.0,9572139,Zhi Zhang,Zhi Zhang
2696356068.0,7118497,Michael J. Sullivan,Michael J. Sullivan
2696669402.0,11433065,Yi Liu,Yi Liu
2697215466.0,11139546,Tao Jiang,Tao Jiang
2699781870.0,11398885,Hao Tang,Hao Tang
2700260843.0,8284998,Jin Wang,Jin Wang
2705565420.0,6991858,Dong-Hyun Jung,Dong-Hyun Jung
2706118512.0,7187418,Steven M. Casey,Steven M. Casey
2706279105.0,7618968,Anil Kumar,Anil Kumar
2706861041.0,8929254,Jie Hu,Jie Hu
2710491426.0,11227395,Liang Wang,Liang Wang
2712685604.0,6041253,Uwe Pliquett,Uwe Pliquett
2714719941.0,11374508,Jian Zhou,Jian Zhou
2717703062.0,7003343,Yi Wang,Yi Wang
2719021427.0,"11381435, 10498593",Jing Sun,"Jing Sun, Jing Sun"
2719900306.0,9891770,Hui-Chun Chen,Hui-Chun Chen
2721924043.0,10567323,Jun Zhang,Jun Zhang
2721934122.0,5395834,Pierre Renard,Pierre Renard
2723185362.0,7622509,Bin Yang,Bin Yang
2724168716.0,10910206,Zoltan Takats,Zoltan Takats
2725036130.0,7871057,Takeshi Shimizu,Takeshi Shimizu
2725991719.0,10421295,Akira Ito,Akira Ito
2726182595.0,8488325,Enchao Yu,Enchao Yu
2734917965.0,4153021,Kenji Hayashi,Kenji Hayashi
2735557804.0,5503166,Fumio Kubo,Fumio Kubo
2735581498.0,5292397,Rainer Tuercke,Rainer Tuercke
2735641368.0,10568642,Min Yang,Min Yang
2742292430.0,D949796,Song Liu,Song Liu
2742980114.0,11453930,Wu Zhang,Wu Zhang
2745238077.0,8420363,Xiao Xu,Xiao Xu
2748273339.0,9574946,Jing Wang,Jing Wang
2751699601.0,7673270,Yan Wang,Yan Wang
2754362369.0,11326206,Yi Zhang,Yi Zhang
2755728815.0,11083107,He Li,He Li
2757322075.0,10511960,James M. Miller,James M. Miller
2757755265.0,"7919139, 7898773",Min Li,"Min Li, Min Li"
2759965683.0,6028303,Toshio Suzuki,Toshio Suzuki
2761510234.0,10187877,Wen Zhang,Wen Zhang
2763793212.0,"5204435, 8507592",Tomiya Abe,"Tomiya Abe, Tomiya Abe"
2769673903.0,8320945,Sung Jun Park,Sung Jun Park
2772444414.0,9189909,Isao Miki,Isao Miki
2775973134.0,10615348,Hiroshi Miyazaki,Hiroshi Miyazaki
2779191390.0,"8327538, 9381175",Yu Wang,"Yu Wang, Yu Wang"
2783632975.0,6462377,Rob van Dalen,Rob Van Dalen
2783824110.0,7289464,Peng Li,Peng Li
2786400913.0,5646119,Tao Xu,Tao Xu
2787792911.0,10364106,Qi Chen,Qi Chen
2792700971.0,10834125,Shuai Jin,Shuai Jin
2795276407.0,9413679,Feng Chen,Feng Chen
2799523939.0,9774326,Fei Liu,Fei Liu
2799924692.0,8064337,In Seong Hwang,In Seong Hwang
2801614900.0,7161935,Carlos Alonso,Carlos Alonso
2804368522.0,8093715,Jun Xu,Jun Xu
2815442432.0,8844120,Yong Shen,Yong Shen
2816133802.0,7525892,Ling Chen,Ling Chen
2818519584.0,10732424,Qing Li,Qing Li
2819423788.0,10008691,Wang Tao,Tao Wang
2821348400.0,11028356,Yong Chen,Yong Chen
2832346706.0,7756214,Xiao Lei,Xiao Lei
2832825170.0,"5092930, 10471939",Yoshii Yuji,"Yuji Yoshii, Yuji Yoshii"
2834396957.0,7673600,Zhou Yang,Zhou Yang
2841098212.0,8163055,Wei Chen,Wei Chen
2841439911.0,8493541,Zhenyu Xie,Zhenyu Xie
2850451652.0,8822194,Zhao Ming,Ming Zhao
2854653204.0,5946234,Jian Chen,Jian Chen
2858501937.0,11288253,Yijun Lu,Yijun Lu
2861018736.0,9068025,Xin Zhou,Xin Zhou
2866000268.0,8842594,Yunfeng Sun,Yunfeng Sun
2870126979.0,D924492,Huan Yu,Huan Yu
2870761215.0,9742781,Gang Chen,Gang Chen
2874796375.0,11109160,Xiaodong Liu,Xiaodong Liu
2874908288.0,6052024,Chung-Wen Lo,CHUNG-WEN LO
2877041815.0,10922134,Ming Zhang,Ming Zhang
2881895462.0,7433557,Liang Ming,Ming Liang
2885337130.0,10188596,Hui Wang,Hui Wang
2887627373.0,10015850,Jong-Il Kim,Jong-Il Kim
2888566621.0,6584127,Kenji Matsumoto,Kenji Matsumoto
2891653437.0,"11329311, 10224025",Chao Shen,"Chao Shen, Chao Shen"
2896598741.0,10955963,Min Jung Choi,Jung Min Choi
2897212644.0,10942876,Rui Xu,Rui Xu
2898214783.0,8981862,Li Liu,Li Liu
2898846418.0,5214643,Horst Mueller,Horst Mueller
2900211798.0,9529428,Arindam Bhattacharya,Arindam Bhattacharya
2900451264.0,7341971,Michael Bartke,Michael Bartke
2901792028.0,7488875,Yuemei Yang,Yuemei Yang
2905378771.0,9396561,Yu Li,Yu Li
2906531665.0,11447875,Mei Wang,Mei Wang
2907830023.0,9986257,Yi-Wen Chen,Yi-Wen Chen
2908976565.0,7784101,Shuo Chen,Shuo Chen
2909755541.0,"6919433, 10721978",Yi Li,"Yi Li, Yi Li"
2909782112.0,11075925,Rizwan Ali,Rizwan Ali
2914655907.0,9647494,Hong Wei,Wei Hong
2915518625.0,9205027,Jörg Breitenbach,Jorg Breitenbach
2918126528.0,5161032,Yuji Kobayashi,Yuji Kobayashi
2918169284.0,"10224855, 11265587",Hao Chen,"Hao Chen, Hao Chen"
2929380630.0,8943669,Shimada Koichi,Koichi Shimada
2933816754.0,"8904790, 9920097",Li Zhong,"Li Zhong, Li Zhong"
2934740484.0,9965088,Yong Wu,Yong Wu
2935410190.0,9904694,Kang Ye,Kang Ye
2935800252.0,9172654,Yuichi Sato,Yuichi Sato
